target_name,target_ID,drugbank_ID,disease_name,disease_ID
Potassium voltage-gated channel subfamily H member 2,37,101,Cardiac arrhythmias,137
Muscarinic acetylcholine receptor M1,38,103,Alzheimer's Disease,51
Muscarinic acetylcholine receptor M1,38,103,Bronchospasm (histamine induced),125
Muscarinic acetylcholine receptor M1,38,103,Cognitive deficits,196
Muscarinic acetylcholine receptor M1,38,103,Schizophrenia,711
Urokinase-type plasminogen activator,346,1074,"Cancer, unspecific",130
Urokinase-type plasminogen activator,346,1074,Melanoma,505
Interstitial collagenase,353,1167,"Cancer, unspecific",130
Interstitial collagenase,353,1167,Chondrosarcoma,164
Interstitial collagenase,353,1167,Emphysema,269
Interstitial collagenase,353,1167,Hormone-refractory Prostate cancer,380
Interstitial collagenase,353,1167,Kaposi's Sarcoma,446
Interstitial collagenase,353,1167,Lung Cancer,471
Interstitial collagenase,353,1167,Myocardial infarction (MI),534
Interstitial collagenase,353,1167,Non-small Cell Lung Cancer,569
Interstitial collagenase,353,1167,Osteoarthritis,586
Interstitial collagenase,353,1167,Pancreatic Cancer,612
Serum paraoxonase/arylesterase 1,357,1198,"Cardiovascular disease, unspecified",144
Cathepsin D,363,1243,Alzheimer's Disease,51
Cathepsin D,363,1243,Breast cancer,117
Pro-epidermal growth factor,734,1278,Colorectal Neoplasms,201
Pro-epidermal growth factor,734,1278,Rectal Neoplasms,680
Estrogen receptor,46,136,Brain injury,113
Estrogen receptor,46,136,Breast cancer,117
Estrogen receptor,46,136,"Cardiovascular disease, unspecified",144
Estrogen receptor,46,136,Coronary atherosclerosis,206
Estrogen receptor,46,136,Endocrine independent cancer,270
Estrogen receptor,46,136,Neurodegenerative diseases,550
Estrogen receptor,46,136,"Osteoporosis, unspecified",595
Estrogen receptor,46,136,Postmenopausal symptoms,647
Estrogen receptor,46,136,Osteoporosis,592
Estrogen receptor,46,136,Myocardial Infarction,533
Estrogen receptor,46,136,Migraine,517
Estrogen receptor,46,136,Cardiovascular disease,143
Androgen receptor,48,146,Prostate cancer,659
Androgen receptor,48,146,Spinal and bulbar muscular atrophy,747
Androgen receptor,48,146,XY disorders of sex development (Other),1006
Androgen receptor,48,146,XY disorders of sex development (Disorders in androgen synthesis or action),1005
Androgen receptor,48,146,Spinal and bulbar muscular atrophy of Kennedy,1004
Androgen receptor,48,146,"Hypospadias 1, X-linked",1003
Androgen receptor,48,146,Androgen insensitivity,1002
Transcription factor AP-1,414,1629,Allergic airway inflammation,43
Transcription factor AP-1,414,1629,Breast cancer,117
Transcription factor AP-1,414,1629,Cancer (multidrug resistant),129
Transcription factor AP-1,414,1629,"Cancer, unspecific",130
Transcription factor AP-1,414,1629,Melanoma,505
Transcription factor AP-1,414,1629,Rheumatoid arthritis,702
Transcription factor AP-1,414,1629,Vascular disease,810
Interleukin-1 beta,418,1654,Acne,5
Interleukin-1 beta,418,1654,Atopic Dermatitis,82
Interleukin-1 beta,418,1654,Chronic hepatitis C,172
Interleukin-1 beta,418,1654,Pediatric,624
Interleukin-1 beta,418,1654,Psoriasis and Psoriatic Disorders,669
Beta-1 adrenergic receptor,63,193,"Anxiety disorder, unspecified",72
Beta-1 adrenergic receptor,63,193,Asthma,77
Beta-1 adrenergic receptor,63,193,Cardiac arrhythmias,137
Beta-1 adrenergic receptor,63,193,"Cardiovascular disease, unspecified",144
Beta-1 adrenergic receptor,63,193,Coronary heart disease,207
Beta-1 adrenergic receptor,63,193,Dilated cardiomyopathy,250
Beta-1 adrenergic receptor,63,193,Glaucoma,330
Beta-1 adrenergic receptor,63,193,Hypertension,397
Heat shock protein HSP 90,444,1939,Breast cancer,117
Heat shock protein HSP 90,444,1939,Chronic Myelogenous Leukemia (CML),178
Heat shock protein HSP 90,444,1939,Gastrointestinal Stromal Tumors (GIST),321
Heat shock protein HSP 90,444,1939,Hematological Malignancies,357
Heat shock protein HSP 90,444,1939,HER2-positive Metastatic Breast Cancer,367
Heat shock protein HSP 90,444,1939,Melanoma,505
Heat shock protein HSP 90,444,1939,Multiple Myeloma,527
Heat shock protein HSP 90,444,1939,Non-small Cell Lung Cancer,569
Heat shock protein HSP 90,444,1939,Ovarian cancer,597
Heat shock protein HSP 90,444,1939,Prostate cancer,659
Heat shock protein HSP 90,444,1939,Refractory Hematological Malignancies,683
Heat shock protein HSP 90,444,1939,Solid tumors,744
Prostaglandin G/H synthase 1,6,20,"Cardiovascular disease, unspecified",144
Prostaglandin G/H synthase 1,6,20,Chronic inflammatory diseases,174
Sodium channel protein type 5 subunit alpha,70,220,Analgesics,55
Sodium channel protein type 5 subunit alpha,70,220,Cardiac dysrhythmias,139
Sodium channel protein type 5 subunit alpha,70,220,Epileptic seizures,280
Sodium channel protein type 5 subunit alpha,70,220,Pain,607
Sodium channel protein type 5 subunit alpha,70,220,Refractory partial epilepsy,684
Sodium channel protein type 5 subunit alpha,70,220,Sustained ventricular tachycardia,757
Dopamine D1 receptor,7,23,Parkinson's disease,621
Tyrosine-protein kinase BTK,488,2355,Acute lymphoblastic leukaemia,10
Tyrosine-protein kinase BTK,488,2355,B cell immunodeficiency,90
Coagulation factor Xa,79,239,Atrial fibrillation and flutter,83
Coagulation factor Xa,79,239,"Cardiovascular disease, unspecified",144
Coagulation factor Xa,79,239,Coagulative disorders,192
Coagulation factor Xa,79,239,Thromboembolic disorders,770
Coagulation factor Xa,79,239,Thromboembolism,771
Coagulation factor Xa,79,239,Thrombosis,772
Coagulation factor Xa,79,239,Thrombotic disease,773
"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform",491,2404,Angioedema,64
"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform",491,2404,"Cancer, unspecific",130
"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform",491,2404,Heart Failure,353
"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform",491,2404,Myocardial Infarction,533
"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform",491,2404,Solid tumors,744
Alcohol dehydrogenase 1A,729,251,Alcoholism,41
Alcohol dehydrogenase 1A,729,251,"Leukemia, Myeloid, Acute",459
Vascular endothelial growth factor receptor 3,8,26,Angiogenesis in metastatic and atherosclerotic processes,66
Apoptosis regulator Bcl-2,86,273,Chronic lymphocytic leukemia,176
Apoptosis regulator Bcl-2,86,273,Prostate cancer (hormone refractory),661
