molecule_ID,MOL_ID,file_ID,molecule_name,ob,mw,alogp,caco2,bbb,halflife,hdon,hacc,dl,FASA
1101,MOL001101,hc_my_Molecule257.mol2,alpha-Ocimene,21.43137325,136.260,3.688,1.87266,1.99394,,0,0,0.015292,0.37966865
118,MOL000118,fyp_cg_Molecule59.mol2,(L)-alpha-Terpineol,48.7977727286,154.280,2.415,1.39392,1.72345,11.349096,1,1,0.030772,0.26883334
121,MOL000121,fyp_cg_Molecule62.mol2,Decanal,29.8050599701,156.300,3.678,1.33684,1.43570,,0,1,0.020124,0.20161143
125,MOL000125,fyp_cg_Molecule66.mol2,(-)-alpha-Pinene,46.2498150113,136.260,2.873,1.84526,2.29870,11.4218,0,0,0.052565,0.24731636
126,MOL000126,fyp_cg_Molecule67.mol2,(-)-nopinene,44.83529174,136.260,2.927,1.80433,2.11917,11.3189,0,0,0.052595,0.26974788
128,MOL000128,fyp_cg_Molecule69.mol2,NERYLACETATE,25.9400016875,196.320,3.313,1.28068,1.28339,,0,2,0.041771,0.2704843
1732,MOL001732,lbh_blg_Molecule109.mol2,IFP,72.8735623353,92.110,-1.408,-0.97410,-2.62630,11.4536,3,3,0.0053814,0.19646987
1752,MOL001752,lbh_blg_Molecule132.mol2,EUG,38.3919348553,150.190,2.098,1.35854,1.35093,11.5652,1,2,0.030821,0.36463594
1843,MOL001843,lbh_blg_Molecule97.mol2,HBA,29.9764362181,122.130,1.322,0.82365,0.62586,,1,2,0.020117,0.42695588
1947,MOL001947,lbh_bss_Molecule21.mol2,n-butyl-β-D-fructoufranoside,9.94003697749,236.300,-0.826,-0.78243,-1.25923,,4,6,0.075755,0.25445297
198,MOL000198,fyp_dfp_Molecule13.mol2,(R)-linalool,39.804300843,154.280,2.735,1.32771,1.36071,6.47726,1,1,0.022686,0.31705615
202,MOL000202,fyp_dfp_Molecule22.mol2,Moslene,33.01642148,136.260,3.449,1.88393,2.04506,11.0828,0,0,0.02224,0.27275583
2039,MOL002039,lbh_cby_Molecule78.mol2,Isopimaric acid,36.1976186221,302.500,4.882,1.12099,1.12178,1.174125,1,2,0.28077,0.31502777
3353,MOL003353,lbh_lq_Molecule376.mol2,Emodinanthrone,24.7206564992,256.270,3.063,0.79555,0.23690,,3,4,0.20985,0.38676545
23,MOL000023,fyp_bz_Molecule13.mol2,Hemo-sol,39.8409788472,136.260,3.503,1.82929,2.11692,11.679068,0,0,0.02231,0
2380,MOL002380,lbh_fxy_Molecule42.mol2,cis-Anethol,30.8567370767,148.220,2.768,1.77155,1.94400,1.713379,0,1,0.027821,0.35275647
259,MOL000259,fyp_dk_Molecule183.mol2,o-Thymol,43.281270422,150.240,3.243,1.57555,1.71203,11.286592,1,1,0.029778,0.32744682
264,MOL000264,fyp_dk_Molecule188.mol2,Tereben,29.6244298027,136.260,3.643,1.85988,2.10791,,0,0,0.022251,0.28012544
2853,MOL002853,lbh_hj_Molecule75.mol2,cyclofenchene,42.2688079323,136.260,2.297,1.79359,2.22366,11.2368,0,0,0.070748,0.2361806
449,MOL000449,fyp_htp_Molecule484.mol2,Stigmasterol,43.8298515785,412.770,7.640,1.44458,1.00045,5.574595,1,1,0.75665,0.21679397
357,MOL000357,fyp_hjs_Molecule461.mol2,Sitogluside,20.6319368572,576.950,6.337,-0.13620,-0.92830,,4,6,0.6241,0.22702196
358,MOL000358,fyp_hjs_Molecule461_qt.mol2,beta-sitosterol,36.9139058327,414.790,8.084,1.32463,0.98588,5.355491,1,1,0.75123,0.22550575
3998,MOL003998,lbh_wzy_Molecule57.mol2,"(3S)-3-methyl-2,3-dihydrofuran",87.7424991181,84.130,0.445,1.43794,1.96013,11.4493,0,1,0.0067353,0.20208503
472,MOL000472,fyp_jxt_Molecule306.mol2,emodin,24.39832432,270.250,2.492,0.22289,-0.66096,,3,5,0.23916,0
4788,MOL004788,lh_dh_Molecule388.mol2,1-alpha-Terpinyl acetate,28.9727687467,196.320,2.794,1.33783,1.59274,,0,2,0.051341,0.23321761
5315,MOL005315,lh_rs_Molecule2380.mol2,(R)-()-Citronellal,50.7785154756,154.280,3.019,1.37432,1.60853,5.351406,0,1,0.020405,0.27698213
5460,MOL005460,lh_sy_Molecule3147_qt.mol2,ophipogonin D_qt,15.8427292412,414.690,4.634,0.79831,0.20920,,1,3,0.80993,0.19966212
5705,MOL005705,lh_ymz_Molecule1015.mol2,Eicosanol,12.0973431527,298.620,8.270,1.37354,0.86358,,1,1,0.16002,0.16507767
597,MOL000597,fyp_pl_Molecule217.mol2,Neryl acetate,57.4658718451,196.320,3.313,1.24994,1.39905,7.918999,0,2,0.041454,0.26890948
601,MOL000601,fyp_pl_Molecule224.mol2,O-Methylthymol,47.6540701725,164.270,3.494,1.74969,1.86905,11.491976,0,1,0.035377,0.28343797
6219,MOL006219,lmm_zs_Molecule042.mol2,Clorius,45.9896389415,136.160,1.685,1.24858,1.40651,-2.15772,0,2,0.023744,0.39595154
628,MOL000628,fyp_qft_Molecule128.mol2,darutoside,21.3181738714,574.930,5.893,-0.26116,-0.95742,,4,6,0.63003,0.22042845
696,MOL000696,fyp_qnj_Molecule322.mol2,β-terpineol,47.8883639354,154.280,2.469,1.28646,1.48026,11.220544,1,1,0.031028,0.27832165
710,MOL000710,fyp_sjs_Molecule549.mol2,OYA,19.0682132399,128.240,2.765,1.30183,1.51674,,0,1,0.011222,0.22505136
7777,MOL007777,rjl_cmt_Molecule153.mol2,"Stigmasta-5,22-dien-3-O-.beta.-D-glucopyranoside",21.3181738714,574.930,5.893,-0.06238,-0.69468,,4,6,0.62593,0.21055004
8401,MOL008401,twy_dsh_Molecule50.mol2,Henicosanoic acid,16.1424704474,326.630,8.649,1.15080,0.68684,,1,2,0.22694,0.1786264
868,MOL000868,hc_cwz_Molecule15.mol2,LFA,8.46051890045,282.620,9.496,1.83400,1.80067,,0,0,0.12999,0.13301942
8738,MOL008738,twy_lj_Molecule361_qt.mol2,solasonine_qt,14.5318196725,413.710,4.368,0.83752,0.21161,,2,3,0.80776,0.20891114
922,MOL000922,hc_ez_Molecule63.mol2,(R)-p-Menth-1-en-4-ol,32.1558504364,154.280,2.550,1.32972,1.51910,11.3891,1,1,0.032284,0.26303163
9446,MOL009446,wy_bh_Molecule117.mol2,1-O-feruloylglycerol,14.1758790789,268.290,0.819,-0.17282,-0.65095,,3,6,0.13366,0.27579132
9447,MOL009447,wy_bh_Molecule118.mol2,regaloside D_qt,12.8112055705,238.260,0.836,-0.37147,-1.06233,,3,5,0.097855,0.35742015
9448,MOL009448,wy_bh_Molecule121.mol2,"26-O-beta-D-Glucopyranosyl-3beta,26-dihydroxy-choleslen-16,22-dioxo-3-O-alpha-L-rhamnopyranosyl-(1-2)-beta-D-glucopyranoside",8.0037036535,903.190,-0.589,-3.36089,-4.82609,,10,18,0.091268,0.25587574
9449,MOL009449,wy_bh_Molecule121_qt.mol2,"26-O-beta-D-Glucopyranosyl-3beta,26-dihydroxy-choleslen-16,22-dioxo-3-O-alpha-L-rhamnopyranosyl-(1-2)-beta-D-glucopyranoside_qt",32.429481127,432.710,3.764,-0.17385,-1.10795,6.016523,2,4,0.8021,0.23031193
9450,MOL009450,wy_bh_Molecule124.mol2,"2-aminobenzoate-3,7-dimethyl-1,6-octadien-3-ol",64.9187277326,273.410,4.032,0.97497,0.57464,5.573302,2,3,0.12426,0.3432866
9451,MOL009451,wy_bh_Molecule125.mol2,.alpha.-Carene,48.0120223948,136.260,2.873,1.83142,2.05637,11.380892,0,0,0.042627,0.24459422
9452,MOL009452,wy_bh_Molecule128.mol2,(2S)-2-methyl-3-phenylpropanal,48.5869905558,148.220,2.435,1.32031,1.56240,2.835817,0,1,0.027391,0.40533593
9453,MOL009453,wy_bh_Molecule130.mol2,"3,6'-O-diferuloylsucrose",15.8576927886,678.700,0.167,-1.99068,-2.97849,,8,16,0.50574,0.27355853
9454,MOL009454,wy_bh_Molecule133.mol2,3-O-beta-D-Glucopyranosyl betulinic acid-28-O-beta-D-glucopyranosyl-(1-6)-beta-D-glucopyranoside,7.79004560221,941.240,0.873,-2.67079,-3.86299,,11,18,0.060782,0.27244824
9455,MOL009455,wy_bh_Molecule133_qt.mol2,3-O-beta-D-Glucopyranosyl betulinic acid-28-O-beta-D-glucopyranosyl-(1-6)-beta-D-glucopyranoside_qt,16.2083945544,454.760,6.271,0.59088,0.08951,,2,3,0.77805,0.27943826
9456,MOL009456,wy_bh_Molecule137.mol2,β-thujene,46.6691617116,136.260,2.678,1.82789,2.23368,11.380292,0,0,0.043495,0.28717151
9457,MOL009457,wy_bh_Molecule138.mol2,colchicoside,11.7327549472,547.610,-0.438,-1.46158,-2.37563,,5,12,0.8316,0.24602969
9458,MOL009458,wy_bh_Molecule138_qt.mol2,3-Demethylcolchicine,39.3432289356,385.450,1.467,0.12204,-0.51710,2.467286,2,7,0.56626,0.24223475
9459,MOL009459,wy_bh_Molecule147.mol2,bicyclo[6. 1. 0]non-1-ene,55.3069870345,122.230,3.075,1.82299,2.19635,12.731887,0,0,0.024693,0.24930362
9460,MOL009460,wy_bh_Molecule148.mol2,"(1S,2R)-1-ethyl-2-methylcyclopropane",39.6013508055,84.180,2.328,1.78618,2.15424,11.3217,0,0,0.010807,0.25883463
9461,MOL009461,wy_bh_Molecule153.mol2,Geraniol formate,26.4667125127,182.290,3.266,1.29388,1.25413,,0,2,0.034261,0.32694471
9462,MOL009462,wy_bh_Molecule157.mol2,ophipogonin D,47.2824530512,855.140,0.792,-2.33382,-2.81711,11.001604,8,16,0.060983,0.21791247
9463,MOL009463,wy_bh_Molecule159.mol2,lilioside C,20.84250911,254.270,-3.155,-2.06244,-5.49602,,6,8,0.097056,0.21303073
9464,MOL009464,wy_bh_Molecule161.mol2,"26-O-β-D-glucopyranosyl-3β,26-dihydroxy-5-cholesten-16,22-dioxo-3-O-α-L-rhamnopyranosyl-(1→2)-β-D-glucopyranoside",10.0154392264,885.170,0.049,-2.87374,-4.26752,,9,17,0.097537,0.25144699
9465,MOL009465,wy_bh_Molecule161_qt.mol2,"26-O-β-D-glucopyranosyl-3β,26-dihydroxy-5-cholesten-16,22-dioxo-3-O-α-L-rhamnopyranosyl-(1→2)-β-D-glucopyranoside_qt",35.1139753561,430.690,3.514,-0.01821,-0.95676,4.147807,2,4,0.80695,0.23091006
9466,MOL009466,wy_bh_Molecule162.mol2,27-O-(3-hydroxy-3-methylglutaroyl)-isonarthogenin-3-O-α-L-rhamnopyranosyl-(1→2)-O-[β-D-glucopyranosyl-(1→4)]-β-D-glucopyranosid,3.01371375297,1045.310,-1.045,-3.17181,-4.30532,,11,22,0.023489,0.24548851
9467,MOL009467,wy_bh_Molecule162_qt.mol2,27-O-(3-hydroxy-3-methylglutaroyl)-isonarthogenin-3-O-α-L-rhamnopyranosyl-(1→2)-O-[β-D-glucopyranosyl-(1→4)]-β-D-glucopyranosid_qt,22.1044645913,574.830,3.307,-0.37275,-1.24098,,3,8,0.39779,0.25342542
9468,MOL009468,wy_bh_Molecule164.mol2,β1-solamargine,44.33737734,722.030,1.762,-1.56473,-2.52182,9.052988,7,12,0.098204,0.21708935
9469,MOL009469,wy_bh_Molecule166.mol2,solasodine-3-O-α-L-rhamnopyranosyl-(1→2)-O-[β-D-glucopyranosyl-(1→4)]-β-D-glucopyranoside,38.1873920585,884.190,0.015,-2.50173,-3.60490,13.179146,10,17,0.055737,0.21737617
9470,MOL009470,wy_bh_Molecule169.mol2,"26-O-β-D-glucopyranosyl-3β,26-dihydroxy-cholestan-16,22-dioxo-3-O-α-L-rhamnopyranosyl-(1→2)-β-D-glucopyranoside",3.77848758855,887.190,0.299,-2.79789,-4.01133,,9,17,0.097499,0.23796123
9471,MOL009471,wy_bh_Molecule169_qt.mol2,"26-O-β-D-glucopyranosyl-3β,26-dihydroxy-cholestan-16,22-dioxo-3-O-α-L-rhamnopyranosyl-(1→2)-β-D-glucopyranoside_qt",32.429481127,432.710,3.764,-0.03837,-0.99437,5.733787,2,4,0.80088,0.2141605
9472,MOL009472,wy_bh_Molecule171.mol2,26-O-β-D-glucopyranosyl-nuatigenin-3-O-α-L-rhamnopyranosyl(1→2)-β-D-glucopyranoside,11.9429056128,901.170,-0.800,-2.73354,-3.74915,,10,18,0.024258,0.21236752
9473,MOL009473,wy_bh_Molecule171_qt.mol2,26-O-β-D-glucopyranosyl-nuatigenin-3-O-α-L-rhamnopyranosyl(1→2)-β-D-glucopyranoside_qt,13.2788357801,430.690,3.553,0.33258,-0.17521,,2,4,0.78513,0.20888096
9474,MOL009474,wy_bh_Molecule173.mol2,26-O-β-D-glucopyranosylnuatigenin-3-O-α-L-rhamnopyranosyl(1→2)-o-[β-D-glucopyranosyl(1→4)]-β-D-glucopyranoside,7.50274178515,1063.330,-2.547,-3.87836,-5.00777,,13,23,0.014202,0.21245874
9475,MOL009475,wy_bh_Molecule173_qt.mol2,26-O-β-D-glucopyranosylnuatigenin-3-O-α-L-rhamnopyranosyl(1→2)-o-[β-D-glucopyranosyl(1→4)]-β-D-glucopyranoside_qt,11.6393840958,592.850,1.806,-0.74683,-1.45691,,5,9,0.23966,0.20154744
9476,MOL009476,wy_bh_Molecule175.mol2,brownioside,7.50319096683,883.150,0.702,-2.49974,-3.56690,,8,17,0.040491,0.25766253
9477,MOL009477,wy_bh_Molecule175_qt.mol2,brownioside_qt,22.1044645913,574.830,3.307,-0.26633,-1.02093,,3,8,0.39735,0.24316099
9478,MOL009478,wy_bh_Molecule177.mol2,deacylbrownioside,7.51145379283,739.010,0.808,-2.06767,-2.94338,,7,13,0.088398,0.20742613
9479,MOL009479,wy_bh_Molecule177_qt.mol2,deacylbrownioside_qt,13.0650176269,430.690,3.414,0.33599,-0.55843,,2,4,0.78594,0.20263283
9480,MOL009480,wy_bh_Molecule185.mol2,regaloside A,11.3849204392,400.420,-0.911,-1.60253,-2.38867,,6,10,0.4605,0.3342717
9481,MOL009481,wy_bh_Molecule187.mol2,regaloside B,15.6307565869,442.460,-0.532,-1.51565,-2.01298,,5,11,0.5116,0.31599984
9482,MOL009482,wy_bh_Molecule187_qt.mol2,regaloside B_qt,33.2621256652,280.300,1.215,-0.16139,-0.73033,6.705082,2,6,0.16004,0.35704198
9483,MOL009483,wy_bh_Molecule189.mol2,regaloside D,11.2995201253,400.420,-0.911,-1.58182,-2.13985,,6,10,0.43387,0.30628473
9484,MOL009484,wy_bh_Molecule191.mol2,regaloside E,6.99722759176,458.460,-0.800,-1.65127,-2.15935,,6,12,0.54634,0.31497082
9485,MOL009485,wy_bh_Molecule191_qt.mol2,regaloside E_qt,7.83967393438,296.300,0.947,-0.31985,-1.10822,,3,7,0.1887,0.34450591
9486,MOL009486,wy_bh_Molecule193.mol2,regaloside F,13.784150302,430.450,-0.928,-1.45695,-2.38621,,6,11,0.53982,0.26290396
9487,MOL009487,wy_bh_Molecule193_qt.mol2,regaloside F_qt,14.1758790789,268.290,0.819,-0.26431,-1.05178,,3,6,0.13408,0.28008306
9488,MOL009488,wy_bh_Molecule199.mol2,tetratriacontan-1-ol,10.0651441707,495.040,14.657,1.47912,0.28869,,1,1,0.44237,0.10995462
9489,MOL009489,wy_bh_Molecule200.mol2,trans-4-(Isopropyl)-1-methylcyclohex-2-en-1-ol,47.0554574748,154.280,2.356,1.23924,1.49550,11.028192,1,1,0.030836,0.2669763
