target_name,target_ID,drugbank_ID,disease_name,disease_ID
Potassium voltage-gated channel subfamily H member 2,37,101,Cardiac arrhythmias,137
Muscarinic acetylcholine receptor M1,38,103,Alzheimer's Disease,51
Muscarinic acetylcholine receptor M1,38,103,Bronchospasm (histamine induced),125
Muscarinic acetylcholine receptor M1,38,103,Cognitive deficits,196
Muscarinic acetylcholine receptor M1,38,103,Schizophrenia,711
Urokinase-type plasminogen activator,346,1074,"Cancer, unspecific",130
Urokinase-type plasminogen activator,346,1074,Melanoma,505
Mitogen-activated protein kinase 1,354,1176,Neurodegenerative diseases,550
Mitogen-activated protein kinase 1,354,1176,Proliferative diseases,657
Serum paraoxonase/arylesterase 1,357,1198,"Cardiovascular disease, unspecified",144
Cathepsin D,363,1243,Alzheimer's Disease,51
Cathepsin D,363,1243,Breast cancer,117
Estrogen receptor,46,136,Brain injury,113
Estrogen receptor,46,136,Breast cancer,117
Estrogen receptor,46,136,"Cardiovascular disease, unspecified",144
Estrogen receptor,46,136,Coronary atherosclerosis,206
Estrogen receptor,46,136,Endocrine independent cancer,270
Estrogen receptor,46,136,Neurodegenerative diseases,550
Estrogen receptor,46,136,"Osteoporosis, unspecified",595
Estrogen receptor,46,136,Postmenopausal symptoms,647
Estrogen receptor,46,136,Osteoporosis,592
Estrogen receptor,46,136,Myocardial Infarction,533
Estrogen receptor,46,136,Migraine,517
Estrogen receptor,46,136,Cardiovascular disease,143
Androgen receptor,48,146,Prostate cancer,659
Androgen receptor,48,146,Spinal and bulbar muscular atrophy,747
Androgen receptor,48,146,XY disorders of sex development (Other),1006
Androgen receptor,48,146,XY disorders of sex development (Disorders in androgen synthesis or action),1005
Androgen receptor,48,146,Spinal and bulbar muscular atrophy of Kennedy,1004
Androgen receptor,48,146,"Hypospadias 1, X-linked",1003
Androgen receptor,48,146,Androgen insensitivity,1002
Transcription factor AP-1,414,1629,Allergic airway inflammation,43
Transcription factor AP-1,414,1629,Breast cancer,117
Transcription factor AP-1,414,1629,Cancer (multidrug resistant),129
Transcription factor AP-1,414,1629,"Cancer, unspecific",130
Transcription factor AP-1,414,1629,Melanoma,505
Transcription factor AP-1,414,1629,Rheumatoid arthritis,702
Transcription factor AP-1,414,1629,Vascular disease,810
"Succinate semialdehyde dehydrogenase, mitochondrial",59,170,Riboflavin deficiency,705
Beta-1 adrenergic receptor,63,193,"Anxiety disorder, unspecified",72
Beta-1 adrenergic receptor,63,193,Asthma,77
Beta-1 adrenergic receptor,63,193,Cardiac arrhythmias,137
Beta-1 adrenergic receptor,63,193,"Cardiovascular disease, unspecified",144
Beta-1 adrenergic receptor,63,193,Coronary heart disease,207
Beta-1 adrenergic receptor,63,193,Dilated cardiomyopathy,250
Beta-1 adrenergic receptor,63,193,Glaucoma,330
Beta-1 adrenergic receptor,63,193,Hypertension,397
Heat shock protein HSP 90,444,1939,Breast cancer,117
Heat shock protein HSP 90,444,1939,Chronic Myelogenous Leukemia (CML),178
Heat shock protein HSP 90,444,1939,Gastrointestinal Stromal Tumors (GIST),321
Heat shock protein HSP 90,444,1939,Hematological Malignancies,357
Heat shock protein HSP 90,444,1939,HER2-positive Metastatic Breast Cancer,367
Heat shock protein HSP 90,444,1939,Melanoma,505
Heat shock protein HSP 90,444,1939,Multiple Myeloma,527
Heat shock protein HSP 90,444,1939,Non-small Cell Lung Cancer,569
Heat shock protein HSP 90,444,1939,Ovarian cancer,597
Heat shock protein HSP 90,444,1939,Prostate cancer,659
Heat shock protein HSP 90,444,1939,Refractory Hematological Malignancies,683
Heat shock protein HSP 90,444,1939,Solid tumors,744
Sodium channel protein type 10 subunit alpha,64,198,Analgesics,55
Sodium channel protein type 10 subunit alpha,64,198,Chronic angina pectoris,166
Sodium channel protein type 10 subunit alpha,64,198,Pain,607
Prostaglandin G/H synthase 1,6,20,"Cardiovascular disease, unspecified",144
Prostaglandin G/H synthase 1,6,20,Chronic inflammatory diseases,174
Neutrophil collagenase,468,2154,Inflammatory diseases,418
Neutrophil collagenase,468,2154,Osteoarthritis,586
Neutrophil collagenase,468,2154,"Osteoporosis, unspecified",595
Neutrophil collagenase,468,2154,"Rheumatoid arthritis, unspecified",703
Neutrophil collagenase,468,2154,Tumors,797
Sodium channel protein type 5 subunit alpha,70,220,Analgesics,55
Sodium channel protein type 5 subunit alpha,70,220,Cardiac dysrhythmias,139
Sodium channel protein type 5 subunit alpha,70,220,Epileptic seizures,280
Sodium channel protein type 5 subunit alpha,70,220,Pain,607
Sodium channel protein type 5 subunit alpha,70,220,Refractory partial epilepsy,684
Sodium channel protein type 5 subunit alpha,70,220,Sustained ventricular tachycardia,757
Rhodopsin,477,2207,Vitamin A deficiency,827
Catalase,735,2230,Heart Failure,353
Catalase,735,2230,Precursor Cell Lymphoblastic Leukemia-Lymphoma,651
Cell division protein kinase 2,482,2240,Acute lymphoblastic leukemia (ALL),12
Cell division protein kinase 2,482,2240,Acute myeloid leukemia (AML),15
Cell division protein kinase 2,482,2240,Advanced solid tumors,32
Cell division protein kinase 2,482,2240,B-cell malignancies,96
Cell division protein kinase 2,482,2240,"Cancer, unspecific",130
Cell division protein kinase 2,482,2240,"Cardiovascular disease, unspecified",144
Cell division protein kinase 2,482,2240,Chronic lymphocytic leukemia (CLL),177
Cell division protein kinase 2,482,2240,Hepatocellular Carcinoma (HCC),365
Cell division protein kinase 2,482,2240,Nasopharyngeal Cancer (NPC),537
Cell division protein kinase 2,482,2240,Non-Hodgkin's Lymphoma,565
Cell division protein kinase 2,482,2240,Non-small Cell Lung Cancer,569
Cell division protein kinase 2,482,2240,Solid tumors,744
Cell division protein kinase 2,482,2240,"Viral infection, unspecified",823
Dopamine D1 receptor,7,23,Parkinson's disease,621
Coagulation factor Xa,79,239,Atrial fibrillation and flutter,83
Coagulation factor Xa,79,239,"Cardiovascular disease, unspecified",144
Coagulation factor Xa,79,239,Coagulative disorders,192
Coagulation factor Xa,79,239,Thromboembolic disorders,770
Coagulation factor Xa,79,239,Thromboembolism,771
Coagulation factor Xa,79,239,Thrombosis,772
Coagulation factor Xa,79,239,Thrombotic disease,773
"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform",491,2404,Angioedema,64
"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform",491,2404,"Cancer, unspecific",130
"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform",491,2404,Heart Failure,353
