molecule_ID,MOL_ID,file_ID,molecule_name,ob,mw,alogp,caco2,bbb,halflife,hdon,hacc,dl,FASA
116,MOL000116,fyp_cg_Molecule57.mol2,Nonanal,40.2763401507,142.270,3.222,1.30729,1.50223,6.35457,0,1,0.015196,0.2058707
117,MOL000117,fyp_cg_Molecule58.mol2,Cymol,27.2038267287,134.240,3.510,1.85992,2.09815,,0,0,0.022463,0.34152725
121,MOL000121,fyp_cg_Molecule62.mol2,Decanal,29.8050599701,156.300,3.678,1.33684,1.43570,,0,1,0.020124,0.20161143
1212,MOL001212,hc_rx_Molecule104.mol2,Loxanol V,14.1899217318,214.440,5.533,1.26802,0.97555,,1,1,0.051747,0.13846877
1224,MOL001224,hc_rx_Molecule120.mol2,Tridecylene,17.6900882717,182.390,5.912,1.82799,2.00618,,0,0,0.03167,0.20494856
125,MOL000125,fyp_cg_Molecule66.mol2,(-)-alpha-Pinene,46.2498150113,136.260,2.873,1.84526,2.29870,11.4218,0,0,0.052565,0.24731636
1273,MOL001273,hc_rx_Molecule7.mol2,80-57-9,50.6314074434,150.240,1.942,1.27451,1.59484,11.5586,0,1,0.061837,0.34078652
1302,MOL001302,hc_sl_Molecule21.mol2,Usaf hc-1,16.2251978018,202.280,2.327,-0.01137,-0.63659,,2,4,0.051156,0.25356278
1306,MOL001306,hc_sl_Molecule26.mol2,o-Acetyl-p-cresol,24.9649097277,150.190,1.789,1.02331,0.87802,,1,2,0.03183,0.3853617
1314,MOL001314,hc_sl_Molecule9.mol2,Azelex,16.9001282361,188.250,1.871,-0.04264,-0.71685,,2,4,0.041301,0.26321036
1388,MOL001388,hc_xhh_Molecule28.mol2,(+)-Ledol,16.9554765285,222.410,3.203,1.43370,1.69043,,1,1,0.12057,0.21091984
1578,MOL001578,lbh_bb_Molecule31.mol2,Hypnon,48.192560362,120.160,1.570,1.35871,1.54113,25.1964,0,1,0.018645,0.45097554
162,MOL000162,fyp_cz_Molecule100.mol2,beta-Chamigrene,31.9911608917,204.390,4.708,1.81712,2.07386,8.591822,0,0,0.080672,0
1640,MOL001640,lbh_bd_Molecule27.mol2,NON,26.7380665564,172.300,3.630,0.96120,1.05836,,1,2,0.027306,0.21996266
1788,MOL001788,lbh_blg_Molecule23_qt.mol2,adenine,62.8058358813,135.150,-0.581,-0.30460,-0.62629,13.333959,3,4,0.034822,0
197,MOL000197,fyp_dfp_Molecule12.mol2,Myrcene,24.9637600776,136.260,3.688,1.83989,1.97983,,0,0,0.015286,0.37053537
199,MOL000199,fyp_dfp_Molecule15.mol2,Safrol,45.3367098958,162.200,2.606,1.44246,1.29000,5.000839,0,2,0.047125,0.38374975
201,MOL000201,fyp_dfp_Molecule21.mol2,p-Ocimene,15.0605211386,136.260,3.634,1.85109,1.99228,,0,0,0.015199,0.38736424
202,MOL000202,fyp_dfp_Molecule22.mol2,Moslene,33.01642148,136.260,3.449,1.88393,2.04506,11.0828,0,0,0.02224,0.27275583
2029,MOL002029,lbh_cby_Molecule51.mol2,()-Cuparene,38.2630865387,202.370,4.715,1.87975,2.14626,-2.239882,0,0,0.07494,0.30460754
2033,MOL002033,lbh_cby_Molecule58.mol2,cis-Thujopsene,56.4260955569,204.390,4.078,1.84396,2.24120,-1.450652,0,0,0.1167,0.25224599
206,MOL000206,fyp_dfp_Molecule32.mol2,isoeugenol,70.1003199231,164.220,2.500,1.38014,1.27504,0.648602,1,2,0.036329,0.3303279
2098,MOL002098,lbh_cx_Molecule100.mol2,3-Butylidene-7-hydroxyphthalide,62.6758164459,204.240,2.735,1.00497,0.89647,4.661874,1,3,0.082048,0.37382969
2102,MOL002102,lbh_cx_Molecule104.mol2,Levistolid A,2.15037399809,380.520,4.970,0.94109,0.45469,,0,4,0.81738,0.27098319
2110,MOL002110,lbh_cx_Molecule116.mol2,Allocymene,14.8853825374,136.260,3.580,1.85442,1.91453,,0,0,0.015094,0.37573823
2111,MOL002111,lbh_cx_Molecule117.mol2,BdPh,42.4414291817,188.240,3.003,1.32349,1.26771,5.643613,0,2,0.067395,0.39118913
2143,MOL002143,lbh_cx_Molecule173.mol2,senkyunolide-C,46.8047575579,204.240,2.735,0.86873,0.49758,5.79921,1,3,0.081112,0.3852123
2144,MOL002144,lbh_cx_Molecule174.mol2,senkyunolide-D,79.1297876006,222.260,1.795,0.11556,-0.06977,5.365128,1,4,0.096223,0.3710613
2145,MOL002145,lbh_cx_Molecule175.mol2,senkyunolide-E,34.4024997209,204.240,1.901,0.55297,0.05604,7.177832,1,3,0.080325,0.39272338
2180,MOL002180,lbh_cx_Molecule48.mol2,4-Octanone,19.3744775411,128.240,2.458,1.37320,1.54767,,0,1,0.011354,0.2182975
2184,MOL002184,lbh_cx_Molecule51.mol2,"(6R)-6-butylcyclohepta-1,4-diene",31.6934852464,150.290,3.925,1.85265,2.17611,5.699938,0,0,0.02363,0.25035217
2201,MOL002201,lbh_cx_Molecule84.mol2,cis-ligustilide,51.3003112408,190.260,2.941,1.30184,1.23678,5.527981,0,2,0.066555,0.33865878
23,MOL000023,fyp_bz_Molecule13.mol2,Hemo-sol,39.8409788472,136.260,3.503,1.82929,2.11692,11.679068,0,0,0.02231,0
232,MOL000232,fyp_dk_Molecule134.mol2,()-alpha-Terpineol,46.2977622082,154.280,2.415,1.28156,1.40212,10.7513,1,1,0.030811,0.26362225
2480,MOL002480,lbh_gj_Molecule23.mol2,Methylbutenol,54.5782994748,86.150,0.841,1.12306,1.32198,11.4718,1,1,0.0068743,0.32919222
259,MOL000259,fyp_dk_Molecule183.mol2,o-Thymol,43.281270422,150.240,3.243,1.57555,1.71203,11.286592,1,1,0.029778,0.32744682
270,MOL000270,fyp_dk_Molecule197.mol2,CHEBI:7,45.1980814037,136.260,2.873,1.84284,2.15102,11.440792,0,0,0.04265,0.26532206
2830,MOL002830,lbh_hj_Molecule104.mol2,PCR,51.9864306358,108.150,2.049,1.55823,1.87628,11.8666,1,1,0.014696,0.40698093
2972,MOL002972,lbh_jx_Molecule44.mol2,"(4S)-1-methyl-4-(6-methylhepta-1,5-dien-2-yl)cyclohexene",20.3015875341,204.390,5.329,1.89373,1.98881,,0,0,0.055521,0.28443125
2983,MOL002983,lbh_jx_Molecule63.mol2,Guasol,51.5952831307,124.150,1.546,1.27757,1.47654,11.9241,1,2,0.019924,0.31828731
2998,MOL002998,lbh_jx_Molecule86.mol2,IPH,36.0503927093,94.120,1.563,1.50024,1.86256,12.0721,1,1,0.010539,0.44181865
346,MOL000346,fyp_hjs_Molecule445.mol2,succinic acid,29.62033732,118.100,-0.410,-0.44496,-0.70993,,2,4,0.012082,0.41501027
35,MOL000035,fyp_bz_Molecule24.mol2,beta-Selinene,24.3882141582,204.390,4.807,1.82578,2.11989,,0,0,0.081081,0
3534,MOL003534,lbh_rg_Molecule43.mol2,CADINENE,17.118275043,204.390,4.745,1.88268,2.06170,,0,0,0.077374,0.25391451
357,MOL000357,fyp_hjs_Molecule461.mol2,Sitogluside,20.6319368572,576.950,6.337,-0.13620,-0.92830,,4,6,0.6241,0.22702196
358,MOL000358,fyp_hjs_Molecule461_qt.mol2,beta-sitosterol,36.9139058327,414.790,8.084,1.32463,0.98588,5.355491,1,1,0.75123,0.22550575
3587,MOL003587,lbh_scz_Molecule14.mol2,Acoradiene,36.7256930412,204.390,4.753,1.84609,2.10555,-0.841344,0,0,0.072988,0.27966082
360,MOL000360,fyp_hjs_Molecule464.mol2,FER,39.5585168118,194.200,1.618,0.47030,-0.03311,2.378545,2,4,0.058069,0.3422915
383,MOL000383,fyp_hq_Molecule202.mol2,"D-Galacturonic acid, homopolymer",29.7522626996,194.160,-2.475,-1.99516,-4.70641,,5,7,0.044648,0
389,MOL000389,fyp_hq_Molecule209.mol2,FERULIC ACID (CIS),54.9654768475,194.200,1.618,0.52671,0.35866,2.579025,2,4,0.058005,0
40,MOL000040,fyp_bz_Molecule30.mol2,Scopoletol,27.7734608153,192.180,1.616,0.71351,0.29931,,1,4,0.076154,0
421,MOL000421,fyp_hq_Molecule258.mol2,nicotinic acid,47.6452927768,123.120,0.284,0.33848,0.20967,11.9826,1,3,0.020168,0
4474,MOL004474,lbh_zl_Molecule26.mol2,Maruzen M,48.4406542292,122.180,2.505,1.57170,1.81308,11.6275,1,1,0.018346,0.37346122
4479,MOL004479,lbh_zl_Molecule33.mol2,o-cresol,62.4539627659,108.150,2.049,1.57300,1.89838,11.9622,1,1,0.015391,0.39822683
4613,MOL004613,lh_ch_Molecule2811.mol2,"6,7,3',8'-diligustilide",9.83315760382,380.520,5.172,0.78866,0.48301,,0,4,0.70364,0.32083467
4723,MOL004723,lh_ch_Molecule3074.mol2,beta-Terpinene,42.2892516553,136.260,3.503,1.84731,2.11859,11.207892,0,0,0.022295,0.29296112
4734,MOL004734,lh_cs_Molecule623.mol2,Butal,68.6578184608,72.120,0.941,1.17974,1.55199,11.6061,0,1,0.0022106,0.26796097
478,MOL000478,fyp_jxt_Molecule313.mol2,Eucarvone,53.136139693,150.240,2.067,1.34832,1.65057,11.453292,0,1,0.030032,0
479,MOL000479,fyp_jxt_Molecule314.mol2,Farnesene,17.4180687339,204.390,5.515,1.95385,2.20961,,0,0,0.047569,0
4791,MOL004791,lh_dh_Molecule398.mol2,Ethol,13.3229377898,242.500,6.445,1.30779,1.07466,,1,1,0.078137,0.15396588
489,MOL000489,fyp_jxt_Molecule326.mol2,"(1S,4aR,8aR)-1-isopropyl-7-methyl-4-methylene-2,3,4a,5,6,8a-hexahydro-1H-naphthalene",19.8024989986,204.390,4.799,1.85892,2.02540,,0,0,0.077344,0
5125,MOL005125,lh_mg_Molecule502.mol2,ANN,29.6852014168,152.160,1.418,0.68592,0.51451,,1,3,0.031857,0.35696602
5449,MOL005449,lh_sy_Molecule3123.mol2,h-Met-h,70.8663394222,149.240,-0.273,0.05672,-0.17250,11.694892,3,3,0.013018,0.37392509
449,MOL000449,fyp_htp_Molecule484.mol2,Stigmasterol,43.8298515785,412.770,7.640,1.44458,1.00045,5.574595,1,1,0.75665,0.21679397
