molecule_ID,MOL_ID,molecule_name,target_name,target_ID,drugbank_ID,validated,SVM_score,RF_score
116,MOL000116,Nonanal,Alcohol dehydrogenase 1B,726,444,,0.87665,0.746
116,MOL000116,Nonanal,Alcohol dehydrogenase 1C,727,517,,0.912223,0.74
116,MOL000116,Nonanal,Gamma-aminobutyric-acid receptor alpha-2 subunit,141,423,,0.972663,0.706
116,MOL000116,Nonanal,Gamma-aminobutyric acid receptor subunit alpha-1,309,872,,0.927279,0.706
116,MOL000116,Nonanal,Cytochrome P450-cam,1143,2298,,0.903211,0.808
117,MOL000117,Cymol,Sodium-dependent noradrenaline transporter,186,540,,0.81925,0.72
117,MOL000117,Cymol,Lysozyme,1172,2300,,0.825,0.778
121,MOL000121,Decanal,Alcohol dehydrogenase 1B,726,444,,0.861349,0.708
121,MOL000121,Decanal,Alcohol dehydrogenase 1C,727,517,,0.904081,0.714
1224,MOL001224,Tridecylene,Progesterone receptor,209,614,,0.91361,0.7
1224,MOL001224,Tridecylene,Mineralocorticoid receptor,252,737,,0.946518,0.7
125,MOL000125,(-)-alpha-Pinene,Gamma-aminobutyric-acid receptor alpha-2 subunit,141,423,,0.97691,0.706
125,MOL000125,(-)-alpha-Pinene,Gamma-aminobutyric acid receptor subunit alpha-1,309,872,,0.93792,0.704
125,MOL000125,(-)-alpha-Pinene,Cytochrome P450-cam,1143,2298,,0.92748,0.826
1273,MOL001273,80-57-9,Muscarinic acetylcholine receptor M3,16,51,,0.81013,0.702
1273,MOL001273,80-57-9,Gamma-aminobutyric-acid receptor alpha-2 subunit,141,423,,0.88959,0.742
1273,MOL001273,80-57-9,Cytochrome P450-cam,1143,2298,,0.90876,0.79
1273,MOL001273,80-57-9,Muscarinic acetylcholine receptor M2,210,617,,0.800134,0.71
1306,MOL001306,o-Acetyl-p-cresol,Prostaglandin G/H synthase 1,6,20,,0.84242,0.772
1306,MOL001306,o-Acetyl-p-cresol,Prostaglandin G/H synthase 2,94,290,,0.84263,0.816
