target_name,target_ID,drugbank_ID,disease_name,disease_ID
Muscarinic acetylcholine receptor M1,38,103,Alzheimer's Disease,51
Muscarinic acetylcholine receptor M1,38,103,Bronchospasm (histamine induced),125
Muscarinic acetylcholine receptor M1,38,103,Cognitive deficits,196
Muscarinic acetylcholine receptor M1,38,103,Schizophrenia,711
"Glycogen phosphorylase, muscle form",350,1152,Diabetes Mellitus Type 2,236
"Glycogen phosphorylase, muscle form",350,1152,Noninsulin-dependent diabetes mellitus,567
Interleukin-6,351,1159,Cachexia,127
Interleukin-6,351,1159,Glioblastoma multiforme,332
Interleukin-6,351,1159,Hyperinflammatory provoked organ injury,393
Interleukin-6,351,1159,"Inflammatory Disorders, Unspecified",420
Interleukin-6,351,1159,Multiple Myeloma,527
Interleukin-6,351,1159,"Osteoporosis, unspecified",595
Interleukin-6,351,1159,Systemic-onset juvenile idiopathic arthritis,762
Cathepsin D,363,1243,Alzheimer's Disease,51
Cathepsin D,363,1243,Breast cancer,117
Androgen receptor,48,146,Prostate cancer,659
Androgen receptor,48,146,Spinal and bulbar muscular atrophy,747
Androgen receptor,48,146,XY disorders of sex development (Other),1006
Androgen receptor,48,146,XY disorders of sex development (Disorders in androgen synthesis or action),1005
Androgen receptor,48,146,Spinal and bulbar muscular atrophy of Kennedy,1004
Androgen receptor,48,146,"Hypospadias 1, X-linked",1003
Androgen receptor,48,146,Androgen insensitivity,1002
Heat shock protein HSP 90,444,1939,Breast cancer,117
Heat shock protein HSP 90,444,1939,Chronic Myelogenous Leukemia (CML),178
Heat shock protein HSP 90,444,1939,Gastrointestinal Stromal Tumors (GIST),321
Heat shock protein HSP 90,444,1939,Hematological Malignancies,357
Heat shock protein HSP 90,444,1939,HER2-positive Metastatic Breast Cancer,367
Heat shock protein HSP 90,444,1939,Melanoma,505
Heat shock protein HSP 90,444,1939,Multiple Myeloma,527
Heat shock protein HSP 90,444,1939,Non-small Cell Lung Cancer,569
Heat shock protein HSP 90,444,1939,Ovarian cancer,597
Heat shock protein HSP 90,444,1939,Prostate cancer,659
Heat shock protein HSP 90,444,1939,Refractory Hematological Malignancies,683
Heat shock protein HSP 90,444,1939,Solid tumors,744
Prostaglandin G/H synthase 1,6,20,"Cardiovascular disease, unspecified",144
Prostaglandin G/H synthase 1,6,20,Chronic inflammatory diseases,174
Sodium channel protein type 5 subunit alpha,70,220,Analgesics,55
Sodium channel protein type 5 subunit alpha,70,220,Cardiac dysrhythmias,139
Sodium channel protein type 5 subunit alpha,70,220,Epileptic seizures,280
Sodium channel protein type 5 subunit alpha,70,220,Pain,607
Sodium channel protein type 5 subunit alpha,70,220,Refractory partial epilepsy,684
Sodium channel protein type 5 subunit alpha,70,220,Sustained ventricular tachycardia,757
Rhodopsin,477,2207,Vitamin A deficiency,827
"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform",491,2404,Angioedema,64
"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform",491,2404,"Cancer, unspecific",130
"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform",491,2404,Heart Failure,353
"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform",491,2404,Myocardial Infarction,533
"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform",491,2404,Solid tumors,744
Apoptosis regulator Bcl-2,86,273,Chronic lymphocytic leukemia,176
Apoptosis regulator Bcl-2,86,273,Prostate cancer (hormone refractory),661
Apoptosis regulator Bcl-2,86,273,Waldenstrom's macroglobulinemia,833
Collagen alpha-1(I) chain,731,28,"Bone Diseases, Metabolic",107
Collagen alpha-1(I) chain,731,28,"Fractures, Bone",302
Collagen alpha-1(I) chain,731,28,Multiple Myeloma,527
Collagen alpha-1(I) chain,731,28,Osteonecrosis,590
Collagen alpha-1(I) chain,731,28,Osteoporosis,592
Prostaglandin G/H synthase 2,94,290,Abdominal aortic aneurysm,1
Prostaglandin G/H synthase 2,94,290,Adenomatous polyposis,24
Prostaglandin G/H synthase 2,94,290,Alzheimer's Disease,51
Prostaglandin G/H synthase 2,94,290,Analgesics,55
Prostaglandin G/H synthase 2,94,290,Arthritis,75
Prostaglandin G/H synthase 2,94,290,Bladder cancer,103
Prostaglandin G/H synthase 2,94,290,Breast cancer,117
Prostaglandin G/H synthase 2,94,290,"Cancer, unspecific",130
Prostaglandin G/H synthase 2,94,290,"Carcinoma in situ, unspecified",134
Prostaglandin G/H synthase 2,94,290,Carpal tunnel syndrome,147
Prostaglandin G/H synthase 2,94,290,Colorectal cancer,200
Prostaglandin G/H synthase 2,94,290,"Dysmenorrhea, unspecified",264
Prostaglandin G/H synthase 2,94,290,Endometriosis,273
