molecule_ID,MOL_ID,file_ID,molecule_name,ob,mw,alogp,caco2,bbb,halflife,hdon,hacc,dl,FASA
131,MOL000131,fyp_cg_Molecule73.mol2,EIC,41.9044360216,280.500,6.391,1.16206,0.90315,7.497042,1,2,0.14347,0.25038776
1323,MOL001323,hc_tr_Molecule19.mol2,Sitosterol alpha1,43.281270422,426.800,8.153,1.41477,0.97257,5.640765,1,1,0.78354,0.23716514
1393,MOL001393,hc_xhh_Molecule34.mol2,myristic acid,21.1811726395,228.420,5.455,1.07113,0.99179,,1,2,0.066784,0.18521617
1394,MOL001394,hc_xhh_Molecule35.mol2,Oktadekan,9.806386361,254.560,8.583,1.8317,1.8291,,0,0,0.090617,0.13750342
1396,MOL001396,hc_xhh_Molecule37.mol2,PENTADECYLIC ACID,20.1845931503,242.450,5.911,1.07931,0.88486,,1,2,0.081479,0.18164326
1399,MOL001399,hc_xhh_Molecule47.mol2,TWT,8.36569448292,310.680,10.408,1.84833,1.63859,,0,0,0.17997,0.12928149
1402,MOL001402,hc_xhh_Molecule50.mol2,Octacosane,8.146611389,394.860,13.145,1.91221,1.45871,,0,0,0.36732,0.12067759
1410,MOL001410,hc_xhh_Molecule59.mol2,Zeaxanthin,21.1738581849,568.960,9.525,1.22477,-1.00396,,2,2,0.54186,0.31087995
1600,MOL001600,lbh_bb_Molecule56.mol2,copaene,29.473383835,204.390,4.169,1.80953,2.03863,,0,0,0.12401,0.22374958
1456,MOL001456,hcx_bqc_Molecule11.mol2,citric acid,56.2198910964,192.140,-1.395,-1.10696,-1.37769,11.4554,4,7,0.047066,0.42949119
1468,MOL001468,hcx_bqc_Molecule23.mol2,MLT,59.6169837991,134.100,-0.955,-0.86983,-1.39591,11.4047,3,5,0.017766,0.41343823
3578,MOL003578,lbh_scp_Molecule92.mol2,Cycloartenol,38.685659058,426.800,7.554,1.52617,1.33261,5.003719,1,1,0.78093,0
1494,MOL001494,hcx_ndl_Molecule52.mol2,Mandenol,41.99620045,308.560,6.991,1.45585,1.13821,5.385969,0,2,0.19321,0.2476896
1495,MOL001495,hcx_ndl_Molecule53.mol2,Ethyl linolenate,46.1009632724,306.540,6.546,1.53656,1.12378,6.200513,0,2,0.19716,0.24799952
1496,MOL001496,hcx_ndl_Molecule54.mol2,ETHYLMYRISTATE,20.5787978016,256.480,6.055,1.39337,1.27527,,0,2,0.094355,0.19190918
1498,MOL001498,hcx_ndl_Molecule57.mol2,Ethyl stearate,17.7043505447,312.600,7.880,1.37245,1.22261,,0,2,0.18836,0.18387406
1585,MOL001585,lbh_bb_Molecule4.mol2,"9,17-OCTADECADIENAL (Z)",38.2569197548,264.500,6.492,1.50085,1.36590,6.423911,0,1,0.1196,0.23216334
