molecule_ID,MOL_ID,file_ID,molecule_name,ob,mw,alogp,caco2,bbb,halflife,hdon,hacc,dl,FASA
1002,MOL001002,hc_my_Molecule142.mol2,ellagic acid,43.0645585827,302.200,1.483,-0.44261,-1.41189,-1.040645,4,8,0.43417,0.43301627
7019,MOL007019,lxx_cs_Molecule862.mol2,Eugeniin,10.0614367176,938.700,3.381,-2.40004,-3.56815,,15,26,0.12895,0.40257224
9092,MOL009092,wjn_htr_Molecule.mol2,Pentagalloylglucose,3.01372069231,940.720,3.693,-3.08494,-4.16859,,15,26,0.20921,0.44738343
9093,MOL009093,wjn_htr_Molecule1.mol2,"1,2,3,6-Tetragalloylglucose",3.01372069231,788.620,2.451,-2.26171,-3.56336,,13,22,0.32966,0.38314304
9094,MOL009094,wjn_htr_Molecule10.mol2,"9,10,12,13-dimethylene octadecanoate",23.7268453736,322.590,6.883,1.44583,1.18614,,0,2,0.26147,0.17688471
9095,MOL009095,wjn_htr_Molecule11.mol2,"9,10-methylene octadecanoate",21.131970707,310.580,7.207,1.39833,1.11945,,0,2,0.20549,0.16604877
9096,MOL009096,wjn_htr_Molecule12.mol2,Methyl 9-cyclopropylnonanoate,17.4698831441,212.370,4.218,1.33014,1.39426,,0,2,0.060601,0.18828866
10726,MOL010726,yy_mgh_Molecule38.mol2,Casuarictin,40.9175856343,936.680,3.069,-3.21855,-4.12125,7.350002,15,26,0.043438,0.41020188
9098,MOL009098,wjn_htr_Molecule14.mol2,casuariin,7.73761291973,782.610,1.115,-2.59848,-3.78534,,14,21,0.11617,0.35112742
9099,MOL009099,wjn_htr_Molecule15.mol2,casuarinin,7.50707923949,936.680,2.425,-3.06008,-3.97204,,16,26,0.061196,0.39061293
9100,MOL009100,wjn_htr_Molecule16.mol2,"2,2',3,3',4,4'-Tetramethoxy-6,6'-biphenyldicarboxylic acid, dimethyl ester",22.9049843828,450.480,2.961,0.44381,0.05257,,0,10,0.47717,0.14381163
9101,MOL009101,wjn_htr_Molecule18.mol2,euprostin A,22.2474377369,1238.880,4.861,-3.33929,-4.83110,,18,34,0.010899,0.39732876
9102,MOL009102,wjn_htr_Molecule19.mol2,gemin D,27.38545746,634.490,0.728,-2.14527,-2.89383,,11,18,0.56091,0.37857112
9103,MOL009103,wjn_htr_Molecule2.mol2,"[(2R,3S,4S,5R,6S)-4-hydroxy-5,6-bis[(3,4,5-trihydroxybenzoyl)oxy]-2-[(3,4,5-trihydroxybenzoyl)oxymethyl]oxan-3-yl] 3,4,5-trihydroxybenzoate",3.01372069231,788.620,2.451,-2.20275,-3.56696,,13,22,0.32661,0.39531174
9104,MOL009104,wjn_htr_Molecule20.mol2,glansreginin A,35.1552345643,593.640,0.220,-1.91629,-2.72091,1.879669,7,14,0.63927,0.35020196
9105,MOL009105,wjn_htr_Molecule21.mol2,glansreginin B,41.3675690034,566.620,-2.178,-2.81747,-3.61949,1.400002,9,15,0.63178,0.30504829
9106,MOL009106,wjn_htr_Molecule22.mol2,glansrin A,19.45360082,1104.790,3.699,-3.42439,-4.98616,,18,31,0.023376,0.40126416
9107,MOL009107,wjn_htr_Molecule23.mol2,glansrin B,47.2367489686,906.650,2.851,-2.70901,-3.78096,6.268806,14,25,0.019515,0.36353138
9108,MOL009108,wjn_htr_Molecule24.mol2,glansrin C,20.8655578375,932.690,2.010,-2.91858,-4.06941,,15,25,0.026001,0.3556397
9109,MOL009109,wjn_htr_Molecule25.mol2,glansrin D,6.628373922,1721.260,5.207,-6.03296,-7.60877,,27,48,0.00069809,0.38569811
9110,MOL009110,wjn_htr_Molecule26.mol2,heterophylliin D,7.27116500119,1855.350,6.095,-6.11378,-7.80510,,29,51,0.00015207,0.38971651
9111,MOL009111,wjn_htr_Molecule27.mol2,hippomanin A,11.4448472319,634.490,0.899,-1.90644,-2.54562,,11,18,0.44136,0.35367438
9112,MOL009112,wjn_htr_Molecule28.mol2,isostrictinin,8.68068505869,634.490,0.899,-2.09057,-3.04779,,11,18,0.45873,0.3520717
12794,MOL012794,zjx_yjh_Molecule973.mol2,Juglanin,2.72821756059,418.380,0.191,-1.13016,-1.82263,,6,10,0.65078,0.34922066
9114,MOL009114,wjn_htr_Molecule3.mol2,"1,2-di-O-galloyl-4,6-HHDP-bata-D-glucose",18.1915623804,802.590,1.872,-2.41546,-3.30416,,14,23,0.20832,0.37967595
9115,MOL009115,wjn_htr_Molecule30.mol2,juglone,25.7430499875,174.160,1.490,0.41977,0.15710,,1,3,0.066512,0.48262203
9116,MOL009116,wjn_htr_Molecule31.mol2,Methyl sterculate,5.14115858037,308.560,7.151,1.48227,1.24949,,0,2,0.20738,0.17010377
9117,MOL009117,wjn_htr_Molecule32.mol2,"methyl 8-[(1R,2S)-2-octylcyclopropyl]octanoate",21.131970707,310.580,7.207,1.41361,1.16677,,0,2,0.20535,0.16156453
9118,MOL009118,wjn_htr_Molecule33.mol2,Methyl tri-O-methylgallate,21.3407658121,226.250,1.636,1.02464,0.70313,,0,5,0.07521,0.14179748
9119,MOL009119,wjn_htr_Molecule34.mol2,platycaryanin A,13.1428635788,1104.790,3.699,-3.36462,-4.63896,,18,31,0.023493,0.3955535
9120,MOL009120,wjn_htr_Molecule35.mol2,pterocarinin A,8.42174330545,1068.810,0.546,-4.09072,-5.17076,,19,30,0.041961,0.37139836
9121,MOL009121,wjn_htr_Molecule36.mol2,rugosin C,13.3893655925,1104.790,3.699,-3.36577,-4.47749,,18,31,0.023518,0.38644913
9122,MOL009122,wjn_htr_Molecule37.mol2,rugosin F,7.34906350098,1857.370,6.406,-5.34823,-7.07513,,29,51,0.00055677,0.40037444
9123,MOL009123,wjn_htr_Molecule38.mol2,stenophyllanin A,13.6379784544,1208.950,4.698,-3.45097,-4.88157,,20,31,0.0080446,0.37684658
9124,MOL009124,wjn_htr_Molecule39.mol2,tellimagrandin I,3.01372069231,786.590,1.969,-2.36624,-3.30623,,13,22,0.31675,0.37886566
9125,MOL009125,wjn_htr_Molecule4.mol2,"11,12-methylene octadecanoate",21.131970707,310.580,7.207,1.40822,1.16520,,0,2,0.20619,0.16749147
9126,MOL009126,wjn_htr_Molecule41.mol2,"methyl 3,4-dimethoxy-5-(2,3,4-trimethoxy-6-methoxycarbonylphenoxy)-2-(2,3,4-trimethoxy-6-methoxycarbonylphenyl)benzoate",32.6851136953,660.680,4.344,0.21625,-0.59306,4.385326,0,15,0.6509,0.10837607
9127,MOL009127,wjn_htr_Molecule5.mol2,1-desgalloylrugosin F,7.20631098554,1689.260,5.505,-5.22784,-6.97991,,26,46,0.00075702,0.37930137
9128,MOL009128,wjn_htr_Molecule6.mol2,"2,3-HHDP-D-glucopyranose",5.03720934049,482.380,-0.343,-2.06873,-2.84460,,9,14,0.83482,0.33333752
9129,MOL009129,wjn_htr_Molecule7.mol2,"6,7-methylene octadecanoate",22.3939136885,296.550,6.956,1.14958,0.99175,,1,2,0.17883,0.1922047
9130,MOL009130,wjn_htr_Molecule8.mol2,"8,9-methylene octadecanoate",21.131970707,310.580,7.207,1.41164,1.13780,,0,2,0.20512,0.16059394
9131,MOL009131,wjn_htr_Molecule9.mol2,"9,10,12,13,15,16-trimethylene octodecanoate",25.47651386,334.600,6.558,1.43141,1.14967,,0,2,0.33458,0.18712614
