target_name,target_ID,drugbank_ID,disease_name,disease_ID
Potassium voltage-gated channel subfamily H member 2,37,101,Cardiac arrhythmias,137
Muscarinic acetylcholine receptor M1,38,103,Alzheimer's Disease,51
Muscarinic acetylcholine receptor M1,38,103,Bronchospasm (histamine induced),125
Muscarinic acetylcholine receptor M1,38,103,Cognitive deficits,196
Muscarinic acetylcholine receptor M1,38,103,Schizophrenia,711
Urokinase-type plasminogen activator,346,1074,"Cancer, unspecific",130
Urokinase-type plasminogen activator,346,1074,Melanoma,505
"Glycogen phosphorylase, muscle form",350,1152,Diabetes Mellitus Type 2,236
"Glycogen phosphorylase, muscle form",350,1152,Noninsulin-dependent diabetes mellitus,567
Interstitial collagenase,353,1167,"Cancer, unspecific",130
Interstitial collagenase,353,1167,Chondrosarcoma,164
Interstitial collagenase,353,1167,Emphysema,269
Interstitial collagenase,353,1167,Hormone-refractory Prostate cancer,380
Interstitial collagenase,353,1167,Kaposi's Sarcoma,446
Interstitial collagenase,353,1167,Lung Cancer,471
Interstitial collagenase,353,1167,Myocardial infarction (MI),534
Interstitial collagenase,353,1167,Non-small Cell Lung Cancer,569
Interstitial collagenase,353,1167,Osteoarthritis,586
Interstitial collagenase,353,1167,Pancreatic Cancer,612
Interferon beta,777,1184,Multiple Sclerosis,529
Serum paraoxonase/arylesterase 1,357,1198,"Cardiovascular disease, unspecified",144
Cathepsin D,363,1243,Alzheimer's Disease,51
Cathepsin D,363,1243,Breast cancer,117
Interferon gamma,365,1253,Multiple Sclerosis,529
Interferon gamma,365,1253,Psoriasis and Psoriatic Disorders,669
Fatty acid synthase,374,1295,Endometrial carcinoma,271
Fatty acid synthase,374,1295,"Leukemia, Unspecified",460
Fatty acid synthase,374,1295,Malaria,489
Fatty acid synthase,374,1295,Mesothelioma,509
Fatty acid synthase,374,1295,Metastatic osteosarcoma in the lung,514
Fatty acid synthase,374,1295,Obesity,572
Fatty acid synthase,374,1295,Prostate cancer,659
Fatty acid synthase,374,1295,Tumors,797
Prostacyclin synthase,761,130,Cerebral Infarction,154
Prostacyclin synthase,761,130,Hypertension,397
Prostacyclin synthase,761,130,Myocardial Infarction,533
Estrogen receptor,46,136,Brain injury,113
Estrogen receptor,46,136,Breast cancer,117
Estrogen receptor,46,136,"Cardiovascular disease, unspecified",144
Estrogen receptor,46,136,Coronary atherosclerosis,206
Estrogen receptor,46,136,Endocrine independent cancer,270
Estrogen receptor,46,136,Neurodegenerative diseases,550
Estrogen receptor,46,136,"Osteoporosis, unspecified",595
Estrogen receptor,46,136,Postmenopausal symptoms,647
Estrogen receptor,46,136,Osteoporosis,592
Estrogen receptor,46,136,Myocardial Infarction,533
Estrogen receptor,46,136,Migraine,517
Estrogen receptor,46,136,Cardiovascular disease,143
Androgen receptor,48,146,Prostate cancer,659
Androgen receptor,48,146,Spinal and bulbar muscular atrophy,747
Androgen receptor,48,146,XY disorders of sex development (Other),1006
Androgen receptor,48,146,XY disorders of sex development (Disorders in androgen synthesis or action),1005
Androgen receptor,48,146,Spinal and bulbar muscular atrophy of Kennedy,1004
Androgen receptor,48,146,"Hypospadias 1, X-linked",1003
Androgen receptor,48,146,Androgen insensitivity,1002
Mitogen-activated protein kinase 14,402,1540,Adult respiratory distress syndrome,28
Mitogen-activated protein kinase 14,402,1540,Alzheimer's Disease,51
Mitogen-activated protein kinase 14,402,1540,Crescentic glomerulonephritis,211
Mitogen-activated protein kinase 14,402,1540,"Crohns's Disease, unspecified",213
Mitogen-activated protein kinase 14,402,1540,Cytokine-mediated diseases,221
Mitogen-activated protein kinase 14,402,1540,Endotoxemia,274
Mitogen-activated protein kinase 14,402,1540,Inflammation,416
Mitogen-activated protein kinase 14,402,1540,Insulin resistance,430
Mitogen-activated protein kinase 14,402,1540,Multiple Myeloma,527
Mitogen-activated protein kinase 14,402,1540,Psoriasis,668
Mitogen-activated protein kinase 14,402,1540,"Rheumatoid arthritis, unspecified",703
Mitogen-activated protein kinase 14,402,1540,Skin diseases,737
Mitogen-activated protein kinase 14,402,1540,Thrombosis,772
Transcription factor AP-1,414,1629,Allergic airway inflammation,43
Transcription factor AP-1,414,1629,Breast cancer,117
Transcription factor AP-1,414,1629,Cancer (multidrug resistant),129
Transcription factor AP-1,414,1629,"Cancer, unspecific",130
Transcription factor AP-1,414,1629,Melanoma,505
Transcription factor AP-1,414,1629,Rheumatoid arthritis,702
Transcription factor AP-1,414,1629,Vascular disease,810
"Succinate semialdehyde dehydrogenase, mitochondrial",59,170,Riboflavin deficiency,705
Glycogen synthase kinase-3 beta,422,1721,Alzheimer's Disease,51
Glycogen synthase kinase-3 beta,422,1721,Bipolar Affective Disorder,100
Glycogen synthase kinase-3 beta,422,1721,Brain injury,113
Glycogen synthase kinase-3 beta,422,1721,Immunodeficiency,413
Glycogen synthase kinase-3 beta,422,1721,Ischemia,441
Glycogen synthase kinase-3 beta,422,1721,Noninsulin-dependent diabetes mellitus,567
E-selectin,427,1756,Asthma,77
E-selectin,427,1756,Atopic Dermatitis,82
E-selectin,427,1756,Chronic Obstructive Pulmonary Disease (COPD),182
E-selectin,427,1756,Inflammatory skin disorder,425
E-selectin,427,1756,Ischemic Stroke,445
E-selectin,427,1756,Psoriasis and Psoriatic Disorders,669
Myeloperoxidase,428,1757,Alzheimer's Disease,51
Myeloperoxidase,428,1757,Atherosclerosis,79
Myeloperoxidase,428,1757,Lung Cancer,471
Myeloperoxidase,428,1757,Multiple Sclerosis,529
Cell division control protein 2 homolog,431,1771,"Cancer, unspecific",130
Cell division control protein 2 homolog,431,1771,Malaria,489
Vascular endothelial growth factor A,740,183,Colorectal Neoplasms,201
Vascular endothelial growth factor A,740,183,Macular Degeneration,485
Vascular cell adhesion protein 1,440,1908,Endotoxin-induced myocardial neutrophil accumulation and contractile dysfunction,275
Heat shock protein HSP 90,444,1939,Breast cancer,117
Heat shock protein HSP 90,444,1939,Chronic Myelogenous Leukemia (CML),178
Heat shock protein HSP 90,444,1939,Gastrointestinal Stromal Tumors (GIST),321
Heat shock protein HSP 90,444,1939,Hematological Malignancies,357
Heat shock protein HSP 90,444,1939,HER2-positive Metastatic Breast Cancer,367
Heat shock protein HSP 90,444,1939,Melanoma,505
Heat shock protein HSP 90,444,1939,Multiple Myeloma,527
Heat shock protein HSP 90,444,1939,Non-small Cell Lung Cancer,569
Heat shock protein HSP 90,444,1939,Ovarian cancer,597
Heat shock protein HSP 90,444,1939,Prostate cancer,659
