molecule_ID,MOL_ID,file_ID,molecule_name,ob,mw,alogp,caco2,bbb,halflife,hdon,hacc,dl,FASA
1789,MOL001789,lbh_blg_Molecule24.mol2,isoliquiritigenin,85.3217982296,256.270,2.900,0.43959,-0.40612,17.664015,3,4,0.14805,0.46312603
1792,MOL001792,lbh_blg_Molecule29.mol2,DFV,32.7627237546,256.270,2.565,0.50823,-0.28845,17.885678,2,4,0.18316,0.42163903
1801,MOL001801,lbh_blg_Molecule36.mol2,salicylic acid,32.1269871811,138.130,1.167,0.62617,0.63276,12.0046,2,3,0.027213,0.42539868
2714,MOL002714,lbh_hh_Molecule174.mol2,baicalein,33.51891869,270.250,2.334,0.63086,-0.05023,16.249167,3,5,0.20888,0.36044624
2959,MOL002959,lbh_jx_Molecule28.mol2,3'-Methoxydaidzein,48.5690937439,284.280,2.316,0.56493,-0.32231,17.039413,2,5,0.24261,0.34405011
346,MOL000346,fyp_hjs_Molecule445.mol2,succinic acid,29.62033732,118.100,-0.410,-0.44496,-0.70993,,2,4,0.012082,0.41501027
357,MOL000357,fyp_hjs_Molecule461.mol2,Sitogluside,20.6319368572,576.950,6.337,-0.13620,-0.92830,,4,6,0.6241,0.22702196
358,MOL000358,fyp_hjs_Molecule461_qt.mol2,beta-sitosterol,36.9139058327,414.790,8.084,1.32463,0.98588,5.355491,1,1,0.75123,0.22550575
359,MOL000359,fyp_hjs_Molecule463.mol2,sitosterol,36.91390583,414.790,8.084,1.32059,0.87298,5.371091,1,1,0.7512,0.22479513
3888,MOL003888,lbh_td_Molecule15.mol2,methylprotodioscin,10.2633703371,1063.380,-0.935,-3.07467,-4.47858,,12,22,0.027465,0.21117209
3889,MOL003889,lbh_td_Molecule15_qt.mol2,methylprotodioscin_qt,35.1164010273,446.740,4.276,0.20346,-0.44726,5.477112,2,4,0.8591,0.19034736
396,MOL000396,fyp_hq_Molecule219.mol2,(+)-Syringaresinol,3.29171328315,418.480,2.100,0.46855,-0.33652,,2,8,0.72244,0
436,MOL000436,fyp_hq_Molecule279.mol2,"(Z)-1-(2,4-dihydroxyphenyl)-3-(4-hydroxyphenyl)prop-2-en-1-one",87.5084517256,256.270,2.900,0.20398,-0.47617,20.282199,3,4,0.14769,0
4807,MOL004807,lh_gc_Molecule101.mol2,glucuronic acid,46.1827723453,194.160,-2.305,-2.05246,-4.58073,11.126,5,7,0.055111,0
4940,MOL004940,lh_gc_Molecule269.mol2,neoliquiritin,13.0094818636,418.430,0.661,-1.08094,-1.94519,,5,9,0.71269,0
