molecule_ID,MOL_ID,molecule_name,target_name,target_ID,drugbank_ID,validated,SVM_score,RF_score
1789,MOL001789,isoliquiritigenin,Prostaglandin G/H synthase 1,6,20,,0.879046,0.764
1789,MOL001789,isoliquiritigenin,Estrogen receptor,46,136,,0.921669,0.786
1789,MOL001789,isoliquiritigenin,Peroxisome proliferator activated receptor gamma,78,238,,0.870824,0.758
1789,MOL001789,isoliquiritigenin,Prostaglandin G/H synthase 2,94,290,,0.926081,0.846
1789,MOL001789,isoliquiritigenin,Carbonic anhydrase II,117,357,,0.820359,0.796
1789,MOL001789,isoliquiritigenin,Beta-2 adrenergic receptor,261,766,,0.805155,0.712
1789,MOL001789,isoliquiritigenin,Estrogen receptor beta,307,869,,0.807019,0.718
1789,MOL001789,isoliquiritigenin,Mitogen-activated protein kinase 14,402,1540,,0.897399,0.752
1789,MOL001789,isoliquiritigenin,Glycogen synthase kinase-3 beta,422,1721,,0.875868,0.702
1789,MOL001789,isoliquiritigenin,Heat shock protein HSP 90,444,1939,,0.911192,0.718
1789,MOL001789,isoliquiritigenin,Cell division protein kinase 2,482,2240,,0.871146,0.746
1789,MOL001789,isoliquiritigenin,Amine oxidase [flavin-containing] B,565,3939,,0.912743,0.704
1789,MOL001789,isoliquiritigenin,mRNA of PKA Catalytic Subunit C-alpha,699,6263,,0.891868,0.722
1789,MOL001789,isoliquiritigenin,cAMP-dependent protein kinase inhibitor alpha,3586,6264,,0.804851,0.754
1789,MOL001789,isoliquiritigenin,"Nitric oxide synthase, inducible",3,7,,0.871155,0.732
1789,MOL001789,isoliquiritigenin,Androgen receptor,48,146,,0.853478,0.768
1789,MOL001789,isoliquiritigenin,"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform",491,2404,,0.931218,0.728
1789,MOL001789,isoliquiritigenin,Beta-lactamase,499,2478,,0.832661,0.714
1789,MOL001789,isoliquiritigenin,Proto-oncogene serine/threonine-protein kinase Pim-1,2966,2347,,0.855908,0.726
1789,MOL001789,isoliquiritigenin,Cyclin-A2,3025,6235,,0.937968,0.704
1789,MOL001789,isoliquiritigenin,Nuclear receptor coactivator 2,3276,6241,,0.801445,0.79
1789,MOL001789,isoliquiritigenin,Proto-oncogene c-Fos,4478,h001,validated,,
1789,MOL001789,isoliquiritigenin,Apoptosis regulator BAX,4033,h001,validated,,
1789,MOL001789,isoliquiritigenin,E-selectin,427,1756,validated,,
1789,MOL001789,isoliquiritigenin,Vascular cell adhesion protein 1,440,1908,validated,,
1789,MOL001789,isoliquiritigenin,Gamma-aminobutyric acid type B receptor subunit 1,4222,h001,validated,,
1789,MOL001789,isoliquiritigenin,Tyrosinase,4590,h001,validated,,
1789,MOL001789,isoliquiritigenin,Junctional adhesion molecule A,4306,h001,validated,,
1789,MOL001789,isoliquiritigenin,Tyrosine-protein kinase JAK2,601,4173,validated,,
1789,MOL001789,isoliquiritigenin,Metallothionein-2,4345,h001,validated,,
1789,MOL001789,isoliquiritigenin,"Solute carrier family 2, facilitated glucose transporter member 1",4533,h001,validated,,
1792,MOL001792,DFV,Prostaglandin G/H synthase 1,6,20,,0.892476,0.752
1792,MOL001792,DFV,Estrogen receptor,46,136,,0.942467,0.804
1792,MOL001792,DFV,Prostaglandin G/H synthase 2,94,290,,0.930541,0.84
1792,MOL001792,DFV,Retinoic acid receptor RXR-alpha,158,459,,0.882757,0.704
1792,MOL001792,DFV,Beta-2 adrenergic receptor,261,766,,0.83234,0.702
1792,MOL001792,DFV,Heat shock protein HSP 90,444,1939,,0.942839,0.722
1792,MOL001792,DFV,"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform",491,2404,,0.883017,0.704
1792,MOL001792,DFV,mRNA of PKA Catalytic Subunit C-alpha,699,6263,,0.896372,0.718
1792,MOL001792,DFV,Beta-lactamase,499,2478,,0.81673,0.704
1792,MOL001792,DFV,Amine oxidase [flavin-containing] B,565,3939,,0.86669,0.702
1792,MOL001792,DFV,Sodium-dependent serotonin transporter,290,824,,0.834445,0.7
1792,MOL001792,DFV,cAMP-dependent protein kinase inhibitor alpha,3586,6264,,0.812898,0.758
1801,MOL001801,salicylic acid,Prostaglandin G/H synthase 1,6,20,,0.840581,0.784
1801,MOL001801,salicylic acid,Prostaglandin G/H synthase 2,94,290,,0.828723,0.83
1801,MOL001801,salicylic acid,Amine oxidase [flavin-containing] B,565,3939,,0.875331,0.708
1801,MOL001801,salicylic acid,Alcohol dehydrogenase 1B,726,444,,0.95204,0.71
1801,MOL001801,salicylic acid,Alcohol dehydrogenase 1C,727,517,,0.962655,0.744
1801,MOL001801,salicylic acid,Lysozyme,1172,2300,,0.909282,0.78
1801,MOL001801,salicylic acid,Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase,2262,2264,,0.947457,0.758
1801,MOL001801,salicylic acid,Trypsin-3,3952,2886,,0.813563,0.702
1801,MOL001801,salicylic acid,Arachidonate 5-lipoxygenase,88,275,validated,0.863273,0.702
1801,MOL001801,salicylic acid,Alcohol dehydrogenase 1A,729,251,,0.966399,0.702
1801,MOL001801,salicylic acid,Chymotrypsinogen B,1696,6011,,0.831275,0.7
1801,MOL001801,salicylic acid,Transcription factor p65,4565,h001,validated,,
1801,MOL001801,salicylic acid,Fatty acid synthase,374,1295,validated,,
1801,MOL001801,salicylic acid,Superoxide dismutase [Cu-Zn],597,4152,validated,,
1801,MOL001801,salicylic acid,Catalase,735,2230,validated,,
1801,MOL001801,salicylic acid,Endothelin-1,4187,h001,validated,,
1801,MOL001801,salicylic acid,Interleukin-4,4301,h001,validated,,
1801,MOL001801,salicylic acid,Neutrophil cytosol factor 1,4391,h001,validated,,
1801,MOL001801,salicylic acid,Glutathione S-transferase P,733,904,validated,,
1801,MOL001801,salicylic acid,Serum paraoxonase/arylesterase 1,357,1198,validated,,
1801,MOL001801,salicylic acid,Pyruvate kinase isozymes R/L,755,52,validated,,
1801,MOL001801,salicylic acid,Apolipoprotein A-I,4030,h001,validated,,
1801,MOL001801,salicylic acid,Plasminogen,76,234,validated,,
1801,MOL001801,salicylic acid,Nuclear factor NF-kappa-B p105 subunit,3023,1787,validated,,
1801,MOL001801,salicylic acid,Interferon beta,777,1184,validated,,
1801,MOL001801,salicylic acid,"Ferritin, mitochondrial",4202,h001,validated,,
1801,MOL001801,salicylic acid,"6-phosphofructokinase, muscle type",4003,h001,validated,,
1801,MOL001801,salicylic acid,Aldo-keto reductase family 1 member C1,3236,139,validated,,
1801,MOL001801,salicylic acid,Thyroid peroxidase,194,563,validated,,
1801,MOL001801,salicylic acid,Beta-glucuronidase,2938,1354,validated,,
1801,MOL001801,salicylic acid,Hairy/enhancer-of-split related with YRPW motif protein 1,4244,h001,validated,,
1801,MOL001801,salicylic acid,Prolow-density lipoprotein receptor-related protein 1,4452,h001,validated,,
1801,MOL001801,salicylic acid,Prostacyclin synthase,761,130,validated,,
1801,MOL001801,salicylic acid,Tyrosine aminotransferase,1883,5493,validated,,
1801,MOL001801,salicylic acid,Golgi-associated plant pathogenesis-related protein 1,3445,5369,validated,,
1801,MOL001801,salicylic acid,Membrane primary amine oxidase,4338,h001,validated,,
1801,MOL001801,salicylic acid,Telomeric repeat-binding factor 1,4551,h001,validated,,
2714,MOL002714,baicalein,Prostaglandin G/H synthase 1,6,20,,0.914003,0.762
2714,MOL002714,baicalein,Androgen receptor,48,146,,0.852203,0.768
2714,MOL002714,baicalein,Prostaglandin G/H synthase 2,94,290,validated,0.942547,0.832
2714,MOL002714,baicalein,Heat shock protein HSP 90,444,1939,,0.96223,0.738
2714,MOL002714,baicalein,mRNA of PKA Catalytic Subunit C-alpha,699,6263,,0.911376,0.722
2714,MOL002714,baicalein,Dipeptidyl peptidase IV,332,952,,0.820015,0.708
2714,MOL002714,baicalein,"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform",491,2404,,0.910208,0.704
2714,MOL002714,baicalein,"CGMP-inhibited 3',5'-cyclic phosphodiesterase A",172,485,,0.813334,0.702
2714,MOL002714,baicalein,Trypsin-1,2928,3176,,0.897669,0.782
2714,MOL002714,baicalein,Nuclear receptor coactivator 2,3276,6241,,0.832082,0.828
2714,MOL002714,baicalein,Nuclear receptor coactivator 1,3279,6228,,0.813081,0.716
2714,MOL002714,baicalein,Calmodulin,3907,465,,0.826444,0.7
2714,MOL002714,baicalein,Transcription factor p65,4565,h001,validated,,
2714,MOL002714,baicalein,RAC-alpha serine/threonine-protein kinase,4490,h001,validated,,
2714,MOL002714,baicalein,Vascular endothelial growth factor A,740,183,validated,,
2714,MOL002714,baicalein,Apoptosis regulator Bcl-2,86,273,validated,,
2714,MOL002714,baicalein,Proto-oncogene c-Fos,4478,h001,validated,,
2714,MOL002714,baicalein,Apoptosis regulator BAX,4033,h001,validated,,
2714,MOL002714,baicalein,Matrix metalloproteinase-9,4334,h001,validated,,
2714,MOL002714,baicalein,Caspase-3,4087,h001,validated,,
2714,MOL002714,baicalein,Cellular tumor antigen p53,646,5788,validated,,
2714,MOL002714,baicalein,Hypoxia-inducible factor 1-alpha,4263,h001,validated,,
2714,MOL002714,baicalein,Fos-related antigen 1,4211,h001,validated,,
2714,MOL002714,baicalein,Fos-related antigen 2,4212,h001,validated,,
