target_name,target_ID,drugbank_ID,disease_name,disease_ID
Potassium voltage-gated channel subfamily H member 2,37,101,Cardiac arrhythmias,137
Muscarinic acetylcholine receptor M1,38,103,Alzheimer's Disease,51
Muscarinic acetylcholine receptor M1,38,103,Bronchospasm (histamine induced),125
Muscarinic acetylcholine receptor M1,38,103,Cognitive deficits,196
Muscarinic acetylcholine receptor M1,38,103,Schizophrenia,711
Urokinase-type plasminogen activator,346,1074,"Cancer, unspecific",130
Urokinase-type plasminogen activator,346,1074,Melanoma,505
Hepatocyte growth factor receptor,349,1144,Gastric Cancer,308
Hepatocyte growth factor receptor,349,1144,Hepatocellular carcinoma,364
Hepatocyte growth factor receptor,349,1144,Lung Cancer,471
Hepatocyte growth factor receptor,349,1144,Pancreatic Cancer,612
Hepatocyte growth factor receptor,349,1144,Prostate cancer (metastatic),662
Hepatocyte growth factor receptor,349,1144,Renal Cell Carcinoma,689
Hepatocyte growth factor receptor,349,1144,Small cell lung cancer,740
Hepatocyte growth factor receptor,349,1144,Solid tumors,744
Interleukin-6,351,1159,Cachexia,127
Interleukin-6,351,1159,Glioblastoma multiforme,332
Interleukin-6,351,1159,Hyperinflammatory provoked organ injury,393
Interleukin-6,351,1159,"Inflammatory Disorders, Unspecified",420
Interleukin-6,351,1159,Multiple Myeloma,527
Interleukin-6,351,1159,"Osteoporosis, unspecified",595
Interleukin-6,351,1159,Systemic-onset juvenile idiopathic arthritis,762
Interstitial collagenase,353,1167,"Cancer, unspecific",130
Interstitial collagenase,353,1167,Chondrosarcoma,164
Interstitial collagenase,353,1167,Emphysema,269
Interstitial collagenase,353,1167,Hormone-refractory Prostate cancer,380
Interstitial collagenase,353,1167,Kaposi's Sarcoma,446
Interstitial collagenase,353,1167,Lung Cancer,471
Interstitial collagenase,353,1167,Myocardial infarction (MI),534
Interstitial collagenase,353,1167,Non-small Cell Lung Cancer,569
Interstitial collagenase,353,1167,Osteoarthritis,586
Interstitial collagenase,353,1167,Pancreatic Cancer,612
Mitogen-activated protein kinase 1,354,1176,Neurodegenerative diseases,550
Mitogen-activated protein kinase 1,354,1176,Proliferative diseases,657
Serum paraoxonase/arylesterase 1,357,1198,"Cardiovascular disease, unspecified",144
Cathepsin D,363,1243,Alzheimer's Disease,51
Cathepsin D,363,1243,Breast cancer,117
Interferon gamma,365,1253,Multiple Sclerosis,529
Interferon gamma,365,1253,Psoriasis and Psoriatic Disorders,669
Estrogen sulfotransferase,781,1275,Endometrial Neoplasms,272
Pro-epidermal growth factor,734,1278,Colorectal Neoplasms,201
Pro-epidermal growth factor,734,1278,Rectal Neoplasms,680
Estrogen receptor,46,136,Brain injury,113
Estrogen receptor,46,136,Breast cancer,117
Estrogen receptor,46,136,"Cardiovascular disease, unspecified",144
Estrogen receptor,46,136,Coronary atherosclerosis,206
Estrogen receptor,46,136,Endocrine independent cancer,270
Estrogen receptor,46,136,Neurodegenerative diseases,550
Estrogen receptor,46,136,"Osteoporosis, unspecified",595
Estrogen receptor,46,136,Postmenopausal symptoms,647
Estrogen receptor,46,136,Osteoporosis,592
Estrogen receptor,46,136,Myocardial Infarction,533
Estrogen receptor,46,136,Migraine,517
Estrogen receptor,46,136,Cardiovascular disease,143
Androgen receptor,48,146,Prostate cancer,659
Androgen receptor,48,146,Spinal and bulbar muscular atrophy,747
Androgen receptor,48,146,XY disorders of sex development (Other),1006
Androgen receptor,48,146,XY disorders of sex development (Disorders in androgen synthesis or action),1005
Androgen receptor,48,146,Spinal and bulbar muscular atrophy of Kennedy,1004
Androgen receptor,48,146,"Hypospadias 1, X-linked",1003
Androgen receptor,48,146,Androgen insensitivity,1002
Transcription factor AP-1,414,1629,Allergic airway inflammation,43
Transcription factor AP-1,414,1629,Breast cancer,117
Transcription factor AP-1,414,1629,Cancer (multidrug resistant),129
Transcription factor AP-1,414,1629,"Cancer, unspecific",130
Transcription factor AP-1,414,1629,Melanoma,505
Transcription factor AP-1,414,1629,Rheumatoid arthritis,702
Transcription factor AP-1,414,1629,Vascular disease,810
D(1B) dopamine receptor,56,163,Respiratory diseases,698
Integrin beta-2,415,1630,Ischemic Stroke,445
C-C motif chemokine 2,417,1649,Acute coronary syndromes,8
C-C motif chemokine 2,417,1649,Atherosclerosis,79
C-C motif chemokine 2,417,1649,"Chronic obstructive pulmonary disease, unspecified",183
C-C motif chemokine 2,417,1649,Inflammatory diseases associated with hypoxia,419
C-C motif chemokine 2,417,1649,Peyronie's disease,634
C-C motif chemokine 2,417,1649,Renal ischemia-reperfusion injury,694
C-C motif chemokine 2,417,1649,"Rheumatoid arthritis, unspecified",703
Interleukin-1 beta,418,1654,Acne,5
Interleukin-1 beta,418,1654,Atopic Dermatitis,82
Interleukin-1 beta,418,1654,Chronic hepatitis C,172
Interleukin-1 beta,418,1654,Pediatric,624
Interleukin-1 beta,418,1654,Psoriasis and Psoriatic Disorders,669
E-selectin,427,1756,Asthma,77
E-selectin,427,1756,Atopic Dermatitis,82
E-selectin,427,1756,Chronic Obstructive Pulmonary Disease (COPD),182
E-selectin,427,1756,Inflammatory skin disorder,425
E-selectin,427,1756,Ischemic Stroke,445
E-selectin,427,1756,Psoriasis and Psoriatic Disorders,669
Myeloperoxidase,428,1757,Alzheimer's Disease,51
Myeloperoxidase,428,1757,Atherosclerosis,79
Myeloperoxidase,428,1757,Lung Cancer,471
Myeloperoxidase,428,1757,Multiple Sclerosis,529
Cell division control protein 2 homolog,431,1771,"Cancer, unspecific",130
Cell division control protein 2 homolog,431,1771,Malaria,489
Tissue-type plasminogen activator,434,1792,Neurological diseases,558
Gap junction alpha-1 protein,436,1827,"Heart disease, unspecified",352
Vascular endothelial growth factor A,740,183,Colorectal Neoplasms,201
Vascular endothelial growth factor A,740,183,Macular Degeneration,485
Vascular cell adhesion protein 1,440,1908,Endotoxin-induced myocardial neutrophil accumulation and contractile dysfunction,275
Stromelysin-1,441,1926,Brain Cancer,111
Stromelysin-1,441,1926,"Cancer, unspecific",130
Stromelysin-1,441,1926,Lung Cancer,471
Stromelysin-1,441,1926,Myocardial infarction (MI),534
Stromelysin-1,441,1926,Osteoarthritis,586
Stromelysin-1,441,1926,Ovarian cancer,597
Stromelysin-1,441,1926,Pancreatic Cancer,612
Stromelysin-1,441,1926,Prostate cancer,659
Beta-1 adrenergic receptor,63,193,"Anxiety disorder, unspecified",72
Beta-1 adrenergic receptor,63,193,Asthma,77
Beta-1 adrenergic receptor,63,193,Cardiac arrhythmias,137
