molecule_ID,MOL_ID,file_ID,molecule_name,ob,mw,alogp,caco2,bbb,halflife,hdon,hacc,dl,FASA
10284,MOL010284,wy_ss_Molecule740.mol2,"(2S,3R,4S,5R)-hexane-2,3,4,5-tetrol",46.3809884626,150.200,-1.164,-0.79814,-2.59605,11.312092,4,4,0.020756,0.27597123
10285,MOL010285,wy_ss_Molecule742.mol2,1-Ethyl-2-propylcyclohexane,42.9220049202,154.330,4.609,1.79830,2.12380,3.554832,0,0,0.026408,0.19939354
10286,MOL010286,wy_ss_Molecule744.mol2,IEA,39.7914715204,161.220,1.840,1.01881,0.73531,-1.161772,2,1,0.047648,0.20406476
10287,MOL010287,wy_ss_Molecule746.mol2,WLN: T6NJ BG CQ,67.5740579635,129.550,1.286,1.04370,1.05153,12.1707,1,2,0.015556,0.51491362
10288,MOL010288,wy_ss_Molecule749.mol2,"3,5-Dimethylcyclopentene",44.2211466905,96.190,2.340,1.80724,2.25881,11.3045,0,0,0.0098112,0.26677251
10289,MOL010289,wy_ss_Molecule750.mol2,3-Allylbenzothiazoliumbromide,95.3081412966,176.280,2.633,1.70586,1.68661,6.858212,0,0,0.045379,0.20425071
10290,MOL010290,wy_ss_Molecule751.mol2,3-Aminoacrylonitrile,47.1639315071,68.090,-0.768,0.98113,0.85236,12.3181,2,2,0.0025332,0.35380623
10291,MOL010291,wy_ss_Molecule752.mol2,3-benzofuranylmethanol,29.4645627087,148.170,1.529,0.95568,0.78782,,1,2,0.040897,0.25199294
10292,MOL010292,wy_ss_Molecule753.mol2,3-Hydroxybenzylhydrazine,41.4352534817,138.190,0.403,0.29364,-0.18412,4.45394,4,3,0.023746,0.33558354
10293,MOL010293,wy_ss_Molecule755.mol2,Methionol,67.2945665278,106.210,0.318,0.83372,0.87204,11.468,1,1,0.0033579,0.31323272
10294,MOL010294,wy_ss_Molecule756.mol2,4-(3-hydroxypropyl)phenol,23.949695715,152.210,1.736,0.70291,0.38545,,2,2,0.029261,0.31921288
10295,MOL010295,wy_ss_Molecule757.mol2,q-Lure,17.01022272,206.260,1.679,0.63865,0.22136,,0,3,0.064796,0.37754038
10296,MOL010296,wy_ss_Molecule759.mol2,"4-(2,6,6-Trimethyl-1-cyclohexenl-yl)-3-buten-2-ol",20.6671218496,222.360,2.815,0.76743,0.41606,,1,2,0.075001,0.28813678
10297,MOL010297,wy_ss_Molecule760.mol2,4-Ethyloctane,16.0394694984,142.320,4.729,1.79874,2.10821,,0,0,0.013861,0.20720519
10298,MOL010298,wy_ss_Molecule761.mol2,"(2R)-4-methoxy-2,5-dimethylfuran-3-one",51.1599368819,142.170,-0.067,0.95128,0.95417,11.438892,0,3,0.026434,0.28940022
