target_name,target_ID,drugbank_ID,disease_name,disease_ID
Muscarinic acetylcholine receptor M1,38,103,Alzheimer's Disease,51
Muscarinic acetylcholine receptor M1,38,103,Bronchospasm (histamine induced),125
Muscarinic acetylcholine receptor M1,38,103,Cognitive deficits,196
Muscarinic acetylcholine receptor M1,38,103,Schizophrenia,711
Urokinase-type plasminogen activator,346,1074,"Cancer, unspecific",130
Urokinase-type plasminogen activator,346,1074,Melanoma,505
Androgen receptor,48,146,Prostate cancer,659
Androgen receptor,48,146,Spinal and bulbar muscular atrophy,747
Androgen receptor,48,146,XY disorders of sex development (Other),1006
Androgen receptor,48,146,XY disorders of sex development (Disorders in androgen synthesis or action),1005
Androgen receptor,48,146,Spinal and bulbar muscular atrophy of Kennedy,1004
Androgen receptor,48,146,"Hypospadias 1, X-linked",1003
Androgen receptor,48,146,Androgen insensitivity,1002
Glycogen synthase kinase-3 beta,422,1721,Alzheimer's Disease,51
Glycogen synthase kinase-3 beta,422,1721,Bipolar Affective Disorder,100
Glycogen synthase kinase-3 beta,422,1721,Brain injury,113
Glycogen synthase kinase-3 beta,422,1721,Immunodeficiency,413
Glycogen synthase kinase-3 beta,422,1721,Ischemia,441
Glycogen synthase kinase-3 beta,422,1721,Noninsulin-dependent diabetes mellitus,567
Heat shock protein HSP 90,444,1939,Breast cancer,117
Heat shock protein HSP 90,444,1939,Chronic Myelogenous Leukemia (CML),178
Heat shock protein HSP 90,444,1939,Gastrointestinal Stromal Tumors (GIST),321
Heat shock protein HSP 90,444,1939,Hematological Malignancies,357
Heat shock protein HSP 90,444,1939,HER2-positive Metastatic Breast Cancer,367
Heat shock protein HSP 90,444,1939,Melanoma,505
Heat shock protein HSP 90,444,1939,Multiple Myeloma,527
Heat shock protein HSP 90,444,1939,Non-small Cell Lung Cancer,569
Heat shock protein HSP 90,444,1939,Ovarian cancer,597
Heat shock protein HSP 90,444,1939,Prostate cancer,659
Heat shock protein HSP 90,444,1939,Refractory Hematological Malignancies,683
Heat shock protein HSP 90,444,1939,Solid tumors,744
Prostaglandin G/H synthase 1,6,20,"Cardiovascular disease, unspecified",144
Prostaglandin G/H synthase 1,6,20,Chronic inflammatory diseases,174
Sodium channel protein type 5 subunit alpha,70,220,Analgesics,55
Sodium channel protein type 5 subunit alpha,70,220,Cardiac dysrhythmias,139
Sodium channel protein type 5 subunit alpha,70,220,Epileptic seizures,280
Sodium channel protein type 5 subunit alpha,70,220,Pain,607
Sodium channel protein type 5 subunit alpha,70,220,Refractory partial epilepsy,684
Sodium channel protein type 5 subunit alpha,70,220,Sustained ventricular tachycardia,757
Dopamine D1 receptor,7,23,Parkinson's disease,621
Coagulation factor Xa,79,239,Atrial fibrillation and flutter,83
Coagulation factor Xa,79,239,"Cardiovascular disease, unspecified",144
Coagulation factor Xa,79,239,Coagulative disorders,192
Coagulation factor Xa,79,239,Thromboembolic disorders,770
Coagulation factor Xa,79,239,Thromboembolism,771
Coagulation factor Xa,79,239,Thrombosis,772
Coagulation factor Xa,79,239,Thrombotic disease,773
Muscarinic acetylcholine receptor M5,87,274,Opioid dependence,578
Muscarinic acetylcholine receptor M5,87,274,Schizophrenia,711
Prostaglandin G/H synthase 2,94,290,Abdominal aortic aneurysm,1
Prostaglandin G/H synthase 2,94,290,Adenomatous polyposis,24
Prostaglandin G/H synthase 2,94,290,Alzheimer's Disease,51
Prostaglandin G/H synthase 2,94,290,Analgesics,55
Prostaglandin G/H synthase 2,94,290,Arthritis,75
Prostaglandin G/H synthase 2,94,290,Bladder cancer,103
Prostaglandin G/H synthase 2,94,290,Breast cancer,117
Prostaglandin G/H synthase 2,94,290,"Cancer, unspecific",130
Prostaglandin G/H synthase 2,94,290,"Carcinoma in situ, unspecified",134
Prostaglandin G/H synthase 2,94,290,Carpal tunnel syndrome,147
Prostaglandin G/H synthase 2,94,290,Colorectal cancer,200
Prostaglandin G/H synthase 2,94,290,"Dysmenorrhea, unspecified",264
Prostaglandin G/H synthase 2,94,290,Endometriosis,273
Prostaglandin G/H synthase 2,94,290,Genitourinary tumors,325
Prostaglandin G/H synthase 2,94,290,Gestational hypertension,327
Prostaglandin G/H synthase 2,94,290,Inflammation,416
Prostaglandin G/H synthase 2,94,290,Inflammatory diseases,418
Prostaglandin G/H synthase 2,94,290,Lung Cancer,471
Prostaglandin G/H synthase 2,94,290,Malignant mesothelioma,496
Prostaglandin G/H synthase 2,94,290,Meningioma,508
Prostaglandin G/H synthase 2,94,290,Myocardial Infarction,533
Prostaglandin G/H synthase 2,94,290,Oropharyngeal squamous cell carcinoma,585
Prostaglandin G/H synthase 2,94,290,Osteoarthritis,586
Prostaglandin G/H synthase 2,94,290,"Pain, unspecified",611
Prostaglandin G/H synthase 2,94,290,Pathological angiogenesis,622
