molecule_ID,MOL_ID,file_ID,molecule_name,ob,mw,alogp,caco2,bbb,halflife,hdon,hacc,dl,FASA
1521,MOL001521,hcx_szr_Molecule101.mol2,ceanothic acid,33.4118097633,486.760,5.359,-0.11231,-0.69111,13.449278,3,5,0.76601,0.30577552
1522,MOL001522,hcx_szr_Molecule102.mol2,(S)-Coclaurine,42.3506421702,285.370,2.825,0.69560,0.06428,4.409726,3,4,0.23518,0.28834075
1523,MOL001523,hcx_szr_Molecule103.mol2,"cyclic adenosine 3',5'-monophosphate(cAMP)",9.04977954903,401.310,-1.833,-1.07382,-1.79957,,3,12,0.60624,0.27241844
1524,MOL001524,hcx_szr_Molecule104.mol2,eleutheroside A,20.6319368572,576.950,6.337,0.02970,-0.62701,,4,6,0.62801,0.20289294
1525,MOL001525,hcx_szr_Molecule104_qt.mol2,Daucosterol,36.9139058327,414.790,8.084,1.42309,1.14991,5.409395,1,1,0.75149,0.21033865
1526,MOL001526,hcx_szr_Molecule107.mol2,jujuboside A,8.03711162215,1207.520,-2.433,-4.47081,-5.50123,,14,26,0.015087,0.23435116
1527,MOL001527,hcx_szr_Molecule107_qt.mol2,jujuboside A_qt,34.9623004,472.780,4.392,0.58873,0.10763,9.752623,2,4,0.61948,0.21222247
1528,MOL001528,hcx_szr_Molecule109.mol2,jujuboside B,13.5975291964,1045.360,-0.129,-3.13410,-4.13442,,11,21,0.02453,0.24421158
1529,MOL001529,hcx_szr_Molecule109_qt.mol2,jujuboside B_qt,23.484969473,472.780,4.949,0.46097,-0.26374,,2,4,0.63394,0.22780409
1530,MOL001530,hcx_szr_Molecule111.mol2,n-methylasimilobine,24.8639429134,281.380,3.316,1.19480,0.94019,,1,3,0.36419,0.26264122
1531,MOL001531,hcx_szr_Molecule112.mol2,dl-Nuciferine,29.2610563172,295.410,3.567,1.34247,1.02539,,0,3,0.40475,0.23096947
1532,MOL001532,hcx_szr_Molecule113.mol2,phytosterol,36.9139058327,414.790,8.084,1.43351,1.16359,4.524111,1,1,0.75386,0.22566524
1533,MOL001533,hcx_szr_Molecule114.mol2,sanjoinine A,27.3249892648,534.770,4.252,0.42249,-0.00915,,3,8,0.79058,0.35360622
1534,MOL001534,hcx_szr_Molecule115.mol2,sanjoinine B,26.8571546533,520.740,3.717,0.22635,-0.20111,,4,8,0.79341,0.34731263
1535,MOL001535,hcx_szr_Molecule116.mol2,sanjoinine D,24.7081369591,566.820,4.215,0.07737,-0.30814,,3,9,0.77411,0.29884282
1536,MOL001536,hcx_szr_Molecule118.mol2,sanjoinine F,18.92125767,564.800,3.742,0.13753,-0.38773,,4,9,0.77142,0.35729471
1537,MOL001537,hcx_szr_Molecule119.mol2,sanjoinine G1,16.1473031942,552.790,3.807,-0.15541,-0.67699,,4,9,0.78122,0.33309609
1538,MOL001538,hcx_szr_Molecule120.mol2,"(2S,3S)-N-[(1S)-1-carbamoyl-3-methyl-butyl]-2-[[(2S)-2-dimethylamino-3-phenyl-propanoyl]amino]-3-(4-formylphenoxy)-4-methyl-valeramide",15.6595760401,538.760,4.117,-0.08594,-0.61761,,4,9,0.58977,0.35154787
1539,MOL001539,hcx_szr_Molecule121.mol2,sanjoinenine,67.2759749205,489.670,4.232,0.42968,-0.23951,4.875576,3,7,0.78898,0.38478121
1540,MOL001540,hcx_szr_Molecule122.mol2,Spinosin,6.30743814173,608.600,-1.553,-2.31848,-3.29263,,9,15,0.72118,0.307439
1541,MOL001541,hcx_szr_Molecule122_qt.mol2,"4H-Benzopyran-4-one, 6-beta-D-glucopyranosyl-5-hydroxy-2-(4-hydroxyphenyl)-7-methoxy-",5.7502138981,446.440,0.194,-1.31882,-2.23561,,6,10,0.74535,0
1542,MOL001542,hcx_szr_Molecule124.mol2,swertisin,31.8302463607,446.440,0.194,-1.14784,-1.93838,16.50758,6,10,0.74521,0.29346588
1543,MOL001543,hcx_szr_Molecule126.mol2,Vicenin-2,3.41553704449,594.570,-2.449,-3.15474,-3.87381,,11,15,0.7819,0.32470345
1544,MOL001544,hcx_szr_Molecule128.mol2,zivulgarin,12.2868342596,608.600,-1.553,-2.40919,-3.14333,,9,15,0.70681,0.28082478
1545,MOL001545,hcx_szr_Molecule128_qt.mol2,zivulgarin_qt,14.3797057756,446.440,0.194,-1.26271,-2.18464,,6,10,0.74548,0
1546,MOL001546,hcx_szr_Molecule130.mol2,zizyphusine,41.5269466565,342.450,3.122,0.99420,0.59517,1.01183,2,4,0.54717,0.17610657
1547,MOL001547,hcx_szr_Molecule95.mol2,6'-p-coumaroylspinosin,5.72595591501,768.780,1.177,-2.02304,-3.61248,,9,17,0.28378,0.33147454
1548,MOL001548,hcx_szr_Molecule96.mol2,6'-sinapoylspinosin,6.8853972223,800.830,-0.642,-1.91134,-3.23887,,8,18,0.24832,0.28047431
1549,MOL001549,hcx_szr_Molecule97.mol2,alphitolic acid,23.3824492278,470.760,5.304,0.02607,-0.58037,,3,4,0.76581,0.3069073
1550,MOL001550,hcx_szr_Molecule98.mol2,amphibine D,17.8652871072,631.900,4.165,0.28175,-0.24892,,3,10,0.63291,0.31978741
1551,MOL001551,hcx_szr_Molecule99.mol2,Trochol,15.479965912,442.800,6.312,0.84381,0.35499,,2,2,0.77965,0.24158427
211,MOL000211,fyp_dfp_Molecule37.mol2,Mairin,55.3770733787,456.780,6.521,0.73231,0.21532,8.873708,2,3,0.7761,0.25708821
360,MOL000360,fyp_hjs_Molecule464.mol2,FER,39.5585168118,194.200,1.618,0.47030,-0.03311,2.378545,2,4,0.058069,0.3422915
