target_name,target_ID,drugbank_ID,disease_name,disease_ID
Potassium voltage-gated channel subfamily H member 2,37,101,Cardiac arrhythmias,137
Muscarinic acetylcholine receptor M1,38,103,Alzheimer's Disease,51
Muscarinic acetylcholine receptor M1,38,103,Bronchospasm (histamine induced),125
Muscarinic acetylcholine receptor M1,38,103,Cognitive deficits,196
Muscarinic acetylcholine receptor M1,38,103,Schizophrenia,711
"Glycogen phosphorylase, muscle form",350,1152,Diabetes Mellitus Type 2,236
"Glycogen phosphorylase, muscle form",350,1152,Noninsulin-dependent diabetes mellitus,567
Interleukin-6,351,1159,Cachexia,127
Interleukin-6,351,1159,Glioblastoma multiforme,332
Interleukin-6,351,1159,Hyperinflammatory provoked organ injury,393
Interleukin-6,351,1159,"Inflammatory Disorders, Unspecified",420
Interleukin-6,351,1159,Multiple Myeloma,527
Interleukin-6,351,1159,"Osteoporosis, unspecified",595
Interleukin-6,351,1159,Systemic-onset juvenile idiopathic arthritis,762
Estrogen receptor,46,136,Brain injury,113
Estrogen receptor,46,136,Breast cancer,117
Estrogen receptor,46,136,"Cardiovascular disease, unspecified",144
Estrogen receptor,46,136,Coronary atherosclerosis,206
Estrogen receptor,46,136,Endocrine independent cancer,270
Estrogen receptor,46,136,Neurodegenerative diseases,550
Estrogen receptor,46,136,"Osteoporosis, unspecified",595
Estrogen receptor,46,136,Postmenopausal symptoms,647
Estrogen receptor,46,136,Osteoporosis,592
Estrogen receptor,46,136,Myocardial Infarction,533
Estrogen receptor,46,136,Migraine,517
Estrogen receptor,46,136,Cardiovascular disease,143
Androgen receptor,48,146,Prostate cancer,659
Androgen receptor,48,146,Spinal and bulbar muscular atrophy,747
Androgen receptor,48,146,XY disorders of sex development (Other),1006
Androgen receptor,48,146,XY disorders of sex development (Disorders in androgen synthesis or action),1005
Androgen receptor,48,146,Spinal and bulbar muscular atrophy of Kennedy,1004
Androgen receptor,48,146,"Hypospadias 1, X-linked",1003
Androgen receptor,48,146,Androgen insensitivity,1002
Mitogen-activated protein kinase 14,402,1540,Adult respiratory distress syndrome,28
Mitogen-activated protein kinase 14,402,1540,Alzheimer's Disease,51
Mitogen-activated protein kinase 14,402,1540,Crescentic glomerulonephritis,211
Mitogen-activated protein kinase 14,402,1540,"Crohns's Disease, unspecified",213
Mitogen-activated protein kinase 14,402,1540,Cytokine-mediated diseases,221
Mitogen-activated protein kinase 14,402,1540,Endotoxemia,274
Mitogen-activated protein kinase 14,402,1540,Inflammation,416
Mitogen-activated protein kinase 14,402,1540,Insulin resistance,430
Mitogen-activated protein kinase 14,402,1540,Multiple Myeloma,527
Mitogen-activated protein kinase 14,402,1540,Psoriasis,668
Mitogen-activated protein kinase 14,402,1540,"Rheumatoid arthritis, unspecified",703
Mitogen-activated protein kinase 14,402,1540,Skin diseases,737
Mitogen-activated protein kinase 14,402,1540,Thrombosis,772
C-C motif chemokine 2,417,1649,Acute coronary syndromes,8
C-C motif chemokine 2,417,1649,Atherosclerosis,79
C-C motif chemokine 2,417,1649,"Chronic obstructive pulmonary disease, unspecified",183
C-C motif chemokine 2,417,1649,Inflammatory diseases associated with hypoxia,419
C-C motif chemokine 2,417,1649,Peyronie's disease,634
C-C motif chemokine 2,417,1649,Renal ischemia-reperfusion injury,694
C-C motif chemokine 2,417,1649,"Rheumatoid arthritis, unspecified",703
Interleukin-1 beta,418,1654,Acne,5
Interleukin-1 beta,418,1654,Atopic Dermatitis,82
Interleukin-1 beta,418,1654,Chronic hepatitis C,172
Interleukin-1 beta,418,1654,Pediatric,624
Interleukin-1 beta,418,1654,Psoriasis and Psoriatic Disorders,669
Glycogen synthase kinase-3 beta,422,1721,Alzheimer's Disease,51
Glycogen synthase kinase-3 beta,422,1721,Bipolar Affective Disorder,100
Glycogen synthase kinase-3 beta,422,1721,Brain injury,113
Glycogen synthase kinase-3 beta,422,1721,Immunodeficiency,413
Glycogen synthase kinase-3 beta,422,1721,Ischemia,441
Glycogen synthase kinase-3 beta,422,1721,Noninsulin-dependent diabetes mellitus,567
Beta-1 adrenergic receptor,63,193,"Anxiety disorder, unspecified",72
Beta-1 adrenergic receptor,63,193,Asthma,77
Beta-1 adrenergic receptor,63,193,Cardiac arrhythmias,137
Beta-1 adrenergic receptor,63,193,"Cardiovascular disease, unspecified",144
Beta-1 adrenergic receptor,63,193,Coronary heart disease,207
Beta-1 adrenergic receptor,63,193,Dilated cardiomyopathy,250
Beta-1 adrenergic receptor,63,193,Glaucoma,330
Beta-1 adrenergic receptor,63,193,Hypertension,397
Heat shock protein HSP 90,444,1939,Breast cancer,117
Heat shock protein HSP 90,444,1939,Chronic Myelogenous Leukemia (CML),178
Heat shock protein HSP 90,444,1939,Gastrointestinal Stromal Tumors (GIST),321
Heat shock protein HSP 90,444,1939,Hematological Malignancies,357
Heat shock protein HSP 90,444,1939,HER2-positive Metastatic Breast Cancer,367
Heat shock protein HSP 90,444,1939,Melanoma,505
Heat shock protein HSP 90,444,1939,Multiple Myeloma,527
Heat shock protein HSP 90,444,1939,Non-small Cell Lung Cancer,569
Heat shock protein HSP 90,444,1939,Ovarian cancer,597
Heat shock protein HSP 90,444,1939,Prostate cancer,659
Heat shock protein HSP 90,444,1939,Refractory Hematological Malignancies,683
Heat shock protein HSP 90,444,1939,Solid tumors,744
Prostaglandin G/H synthase 1,6,20,"Cardiovascular disease, unspecified",144
Prostaglandin G/H synthase 1,6,20,Chronic inflammatory diseases,174
"CGMP-specific 3',5'-cyclic phosphodiesterase",65,204,Erectile dysfunction,283
"CGMP-specific 3',5'-cyclic phosphodiesterase",65,204,Injury to spine and spinal cord,428
"CGMP-specific 3',5'-cyclic phosphodiesterase",65,204,Pulmonary hypertension,675
"CGMP-specific 3',5'-cyclic phosphodiesterase",65,204,Vascular disease,810
Sodium channel protein type 5 subunit alpha,70,220,Analgesics,55
Sodium channel protein type 5 subunit alpha,70,220,Cardiac dysrhythmias,139
Sodium channel protein type 5 subunit alpha,70,220,Epileptic seizures,280
Sodium channel protein type 5 subunit alpha,70,220,Pain,607
Sodium channel protein type 5 subunit alpha,70,220,Refractory partial epilepsy,684
Sodium channel protein type 5 subunit alpha,70,220,Sustained ventricular tachycardia,757
Cell division protein kinase 2,482,2240,Acute lymphoblastic leukemia (ALL),12
Cell division protein kinase 2,482,2240,Acute myeloid leukemia (AML),15
Cell division protein kinase 2,482,2240,Advanced solid tumors,32
Cell division protein kinase 2,482,2240,B-cell malignancies,96
