molecule_ID,MOL_ID,file_ID,molecule_name,ob,mw,alogp,caco2,bbb,halflife,hdon,hacc,dl,FASA
105,MOL000105,fyp_cg_Molecule44.mol2,protocatechuic acid,25.3664679574,154.130,0.900,0.10027,-0.17388,,3,4,0.035092,0.43219224
117,MOL000117,fyp_cg_Molecule58.mol2,Cymol,27.2038267287,134.240,3.510,1.85992,2.09815,,0,0,0.022463,0.34152725
118,MOL000118,fyp_cg_Molecule59.mol2,(L)-alpha-Terpineol,48.7977727286,154.280,2.415,1.39392,1.72345,11.349096,1,1,0.030772,0.26883334
119,MOL000119,fyp_cg_Molecule60.mol2,ZINC02040970,40.4333755876,222.410,4.562,1.43569,1.31354,4.728623,1,1,0.06012,0.30294737
122,MOL000122,fyp_cg_Molecule63.mol2,"1,8-cineole",39.7292164619,154.280,2.148,1.57306,2.06035,11.2921,0,1,0.049041,0.24210331
125,MOL000125,fyp_cg_Molecule66.mol2,(-)-alpha-Pinene,46.2498150113,136.260,2.873,1.84526,2.29870,11.4218,0,0,0.052565,0.24731636
126,MOL000126,fyp_cg_Molecule67.mol2,(-)-nopinene,44.83529174,136.260,2.927,1.80433,2.11917,11.3189,0,0,0.052595,0.26974788
128,MOL000128,fyp_cg_Molecule69.mol2,NERYLACETATE,25.9400016875,196.320,3.313,1.28068,1.28339,,0,2,0.041771,0.2704843
1444,MOL001444,hc_ymc_Molecule7.mol2,LC 5504,18.5225169125,318.500,2.612,0.77789,0.61520,,0,3,0.3036,0.27496004
1566,MOL001566,lbh_bb_Molecule13.mol2,calarene,52.162692448,204.390,4.123,1.81843,2.03682,-1.341792,0,0,0.11399,0.22844663
1600,MOL001600,lbh_bb_Molecule56.mol2,copaene,29.473383835,204.390,4.169,1.80953,2.03863,,0,0,0.12401,0.22374958
1604,MOL001604,lbh_bb_Molecule64.mol2,Linalool,49.3673709995,170.280,1.434,0.85997,0.74434,4.510261,1,2,0.042561,0.3189677
162,MOL000162,fyp_cz_Molecule100.mol2,beta-Chamigrene,31.9911608917,204.390,4.708,1.81712,2.07386,8.591822,0,0,0.080672,0
1948,MOL001948,lbh_bss_Molecule22.mol2,Nootkatin,31.8243835527,232.350,3.548,1.09617,0.94424,4.406789,1,2,0.079936,0.3555322
196,MOL000196,fyp_dfp_Molecule11.mol2,L-Bornyl acetate,65.5209219822,196.320,2.354,1.28902,1.58637,6.938021,0,2,0.075447,0.22970334
197,MOL000197,fyp_dfp_Molecule12.mol2,Myrcene,24.9637600776,136.260,3.688,1.83989,1.97983,,0,0,0.015286,0.37053537
198,MOL000198,fyp_dfp_Molecule13.mol2,(R)-linalool,39.804300843,154.280,2.735,1.32771,1.36071,6.47726,1,1,0.022686,0.31705615
202,MOL000202,fyp_dfp_Molecule22.mol2,Moslene,33.01642148,136.260,3.449,1.88393,2.04506,11.0828,0,0,0.02224,0.27275583
2028,MOL002028,lbh_cby_Molecule5.mol2,(+)-beta-Phellandrene,40.30231564,136.260,3.308,1.82901,2.20181,11.281292,0,0,0.022283,0.3045291
2029,MOL002029,lbh_cby_Molecule51.mol2,()-Cuparene,38.2630865387,202.370,4.715,1.87975,2.14626,-2.239882,0,0,0.07494,0.30460754
2153,MOL002153,lbh_cx_Molecule182.mol2,"1H-Cycloprop(e)azulen-7-ol, decahydro-1,1,7-trimethyl-4-methylene-, (1aR-(1aalpha,4aalpha,7beta,7abeta,7balpha))-",82.328461561,220.390,3.007,1.37119,1.48644,12.043468,1,1,0.12209,0.27701429
23,MOL000023,fyp_bz_Molecule13.mol2,Hemo-sol,39.8409788472,136.260,3.503,1.82929,2.11692,11.679068,0,0,0.02231,0
233,MOL000233,fyp_dk_Molecule135.mol2,delta-Terpineol,55.10994784,154.280,2.469,1.28225,1.44318,10.9721,1,1,0.030896,0.28024474
2335,MOL002335,lbh_fj_Molecule20.mol2,beta-Gurjunene,51.35822434,204.390,4.223,1.81243,2.06932,12.068444,0,0,0.10414,0.25603276
24,MOL000024,fyp_bz_Molecule14.mol2,alpha-humulene,22.9768241266,204.390,5.035,1.87788,2.07698,,0,0,0.061124,0
2453,MOL002453,lbh_gj_Molecule107.mol2,(-)-Comphene,34.9792102593,136.260,2.927,1.80780,2.20975,11.2919,0,0,0.039017,0.27714333
2455,MOL002455,lbh_gj_Molecule113.mol2,"[(3S)-3,7-dimethyloct-6-enyl] acetate",22.6803629386,198.340,3.428,1.30961,1.37744,,0,2,0.041156,0.23723964
