target_name,target_ID,drugbank_ID,disease_name,disease_ID
Potassium voltage-gated channel subfamily H member 2,37,101,Cardiac arrhythmias,137
Muscarinic acetylcholine receptor M1,38,103,Alzheimer's Disease,51
Muscarinic acetylcholine receptor M1,38,103,Bronchospasm (histamine induced),125
Muscarinic acetylcholine receptor M1,38,103,Cognitive deficits,196
Muscarinic acetylcholine receptor M1,38,103,Schizophrenia,711
Urokinase-type plasminogen activator,346,1074,"Cancer, unspecific",130
Urokinase-type plasminogen activator,346,1074,Melanoma,505
Cathepsin D,363,1243,Alzheimer's Disease,51
Cathepsin D,363,1243,Breast cancer,117
Androgen receptor,48,146,Prostate cancer,659
Androgen receptor,48,146,Spinal and bulbar muscular atrophy,747
Androgen receptor,48,146,XY disorders of sex development (Other),1006
Androgen receptor,48,146,XY disorders of sex development (Disorders in androgen synthesis or action),1005
Androgen receptor,48,146,Spinal and bulbar muscular atrophy of Kennedy,1004
Androgen receptor,48,146,"Hypospadias 1, X-linked",1003
Androgen receptor,48,146,Androgen insensitivity,1002
Transient receptor potential cation channel subfamily V member 1,404,1558,Acute migraine,13
Transient receptor potential cation channel subfamily V member 1,404,1558,Analgesics,55
Transient receptor potential cation channel subfamily V member 1,404,1558,Chronic pathological pain,185
Transient receptor potential cation channel subfamily V member 1,404,1558,Osteoarthritis pain,587
Transient receptor potential cation channel subfamily V member 1,404,1558,"Pain, Acute or Chronic",609
Transient receptor potential cation channel subfamily V member 1,404,1558,Urinary incontinence,804
Transcription factor AP-1,414,1629,Allergic airway inflammation,43
Transcription factor AP-1,414,1629,Breast cancer,117
Transcription factor AP-1,414,1629,Cancer (multidrug resistant),129
Transcription factor AP-1,414,1629,"Cancer, unspecific",130
Transcription factor AP-1,414,1629,Melanoma,505
Transcription factor AP-1,414,1629,Rheumatoid arthritis,702
Transcription factor AP-1,414,1629,Vascular disease,810
E-selectin,427,1756,Asthma,77
E-selectin,427,1756,Atopic Dermatitis,82
E-selectin,427,1756,Chronic Obstructive Pulmonary Disease (COPD),182
E-selectin,427,1756,Inflammatory skin disorder,425
E-selectin,427,1756,Ischemic Stroke,445
E-selectin,427,1756,Psoriasis and Psoriatic Disorders,669
Vascular cell adhesion protein 1,440,1908,Endotoxin-induced myocardial neutrophil accumulation and contractile dysfunction,275
Beta-1 adrenergic receptor,63,193,"Anxiety disorder, unspecified",72
Beta-1 adrenergic receptor,63,193,Asthma,77
Beta-1 adrenergic receptor,63,193,Cardiac arrhythmias,137
Beta-1 adrenergic receptor,63,193,"Cardiovascular disease, unspecified",144
Beta-1 adrenergic receptor,63,193,Coronary heart disease,207
Beta-1 adrenergic receptor,63,193,Dilated cardiomyopathy,250
Beta-1 adrenergic receptor,63,193,Glaucoma,330
Beta-1 adrenergic receptor,63,193,Hypertension,397
Heat shock protein HSP 90,444,1939,Breast cancer,117
Heat shock protein HSP 90,444,1939,Chronic Myelogenous Leukemia (CML),178
Heat shock protein HSP 90,444,1939,Gastrointestinal Stromal Tumors (GIST),321
Heat shock protein HSP 90,444,1939,Hematological Malignancies,357
Heat shock protein HSP 90,444,1939,HER2-positive Metastatic Breast Cancer,367
Heat shock protein HSP 90,444,1939,Melanoma,505
Heat shock protein HSP 90,444,1939,Multiple Myeloma,527
Heat shock protein HSP 90,444,1939,Non-small Cell Lung Cancer,569
Heat shock protein HSP 90,444,1939,Ovarian cancer,597
Heat shock protein HSP 90,444,1939,Prostate cancer,659
Heat shock protein HSP 90,444,1939,Refractory Hematological Malignancies,683
Heat shock protein HSP 90,444,1939,Solid tumors,744
Prostaglandin G/H synthase 1,6,20,"Cardiovascular disease, unspecified",144
Prostaglandin G/H synthase 1,6,20,Chronic inflammatory diseases,174
Sodium channel protein type 5 subunit alpha,70,220,Analgesics,55
Sodium channel protein type 5 subunit alpha,70,220,Cardiac dysrhythmias,139
Sodium channel protein type 5 subunit alpha,70,220,Epileptic seizures,280
Sodium channel protein type 5 subunit alpha,70,220,Pain,607
Sodium channel protein type 5 subunit alpha,70,220,Refractory partial epilepsy,684
Sodium channel protein type 5 subunit alpha,70,220,Sustained ventricular tachycardia,757
Rhodopsin,477,2207,Vitamin A deficiency,827
Dopamine D1 receptor,7,23,Parkinson's disease,621
Coagulation factor Xa,79,239,Atrial fibrillation and flutter,83
Coagulation factor Xa,79,239,"Cardiovascular disease, unspecified",144
Coagulation factor Xa,79,239,Coagulative disorders,192
Coagulation factor Xa,79,239,Thromboembolic disorders,770
Coagulation factor Xa,79,239,Thromboembolism,771
Coagulation factor Xa,79,239,Thrombosis,772
Coagulation factor Xa,79,239,Thrombotic disease,773
"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform",491,2404,Angioedema,64
"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform",491,2404,"Cancer, unspecific",130
"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform",491,2404,Heart Failure,353
"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform",491,2404,Myocardial Infarction,533
"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform",491,2404,Solid tumors,744
Apoptosis regulator Bcl-2,86,273,Chronic lymphocytic leukemia,176
Apoptosis regulator Bcl-2,86,273,Prostate cancer (hormone refractory),661
Apoptosis regulator Bcl-2,86,273,Waldenstrom's macroglobulinemia,833
Collagen alpha-1(I) chain,731,28,"Bone Diseases, Metabolic",107
Collagen alpha-1(I) chain,731,28,"Fractures, Bone",302
Collagen alpha-1(I) chain,731,28,Multiple Myeloma,527
Collagen alpha-1(I) chain,731,28,Osteonecrosis,590
Collagen alpha-1(I) chain,731,28,Osteoporosis,592
Prostaglandin G/H synthase 2,94,290,Abdominal aortic aneurysm,1
Prostaglandin G/H synthase 2,94,290,Adenomatous polyposis,24
Prostaglandin G/H synthase 2,94,290,Alzheimer's Disease,51
Prostaglandin G/H synthase 2,94,290,Analgesics,55
Prostaglandin G/H synthase 2,94,290,Arthritis,75
Prostaglandin G/H synthase 2,94,290,Bladder cancer,103
Prostaglandin G/H synthase 2,94,290,Breast cancer,117
Prostaglandin G/H synthase 2,94,290,"Cancer, unspecific",130
Prostaglandin G/H synthase 2,94,290,"Carcinoma in situ, unspecified",134
Prostaglandin G/H synthase 2,94,290,Carpal tunnel syndrome,147
Prostaglandin G/H synthase 2,94,290,Colorectal cancer,200
