molecule_ID,MOL_ID,file_ID,molecule_name,ob,mw,alogp,caco2,bbb,halflife,hdon,hacc,dl,FASA
117,MOL000117,fyp_cg_Molecule58.mol2,Cymol,27.2038267287,134.240,3.510,1.85992,2.09815,,0,0,0.022463,0.34152725
126,MOL000126,fyp_cg_Molecule67.mol2,(-)-nopinene,44.83529174,136.260,2.927,1.80433,2.11917,11.3189,0,0,0.052595,0.26974788
1308,MOL001308,hc_sl_Molecule3.mol2,oleic acid,33.1283648117,282.520,6.835,1.14063,0.92898,5.388022,1,2,0.14262,0.19522245
1525,MOL001525,hcx_szr_Molecule104_qt.mol2,Daucosterol,36.9139058327,414.790,8.084,1.42309,1.14991,5.409395,1,1,0.75149,0.21033865
1606,MOL001606,lbh_bb_Molecule70.mol2,BB_NC-0668,35.5721405828,204.390,4.753,1.83095,2.01966,7.232044,0,0,0.082297,0.27381417
1867,MOL001867,lbh_bmg_Molecule.mol2,Isovanillin,31.0063039472,152.160,1.306,0.75435,0.49571,4.71704,1,3,0.032666,0.31194469
2183,MOL002183,lbh_cx_Molecule50.mol2,5-Propyl-2-thiouracil,77.6032661253,170.260,1.246,0.93314,0.77511,-2.80092,2,3,0.02932,0.36007938
2349,MOL002349,lbh_fj_Molecule40.mol2,ZINC05225089,28.1643673358,218.370,3.612,1.36980,1.44530,,0,1,0.097092,0.32846653
2560,MOL002560,lbh_glj_Molecule49.mol2,chrysin,22.6099707235,254.250,2.602,0.70172,0.01100,,2,4,0.18141,0.41948938
3547,MOL003547,lbh_scp_Molecule17.mol2,Azaron,38.3857473052,208.280,2.735,1.42116,1.18131,4.546558,0,3,0.060667,0
359,MOL000359,fyp_hjs_Molecule463.mol2,sitosterol,36.91390583,414.790,8.084,1.32059,0.87298,5.371091,1,1,0.7512,0.22479513
432,MOL000432,fyp_hq_Molecule274.mol2,linolenic acid,45.0090659146,278.480,5.946,1.20965,0.83697,5.53627,1,2,0.14709,0
449,MOL000449,fyp_htp_Molecule484.mol2,Stigmasterol,43.8298515785,412.770,7.640,1.44458,1.00045,5.574595,1,1,0.75665,0.21679397
609,MOL000609,fyp_pl_Molecule245.mol2,"(1R,5S)-7,7-dimethyl-4-bicyclo[3.1.1]hept-3-enecarboxaldehyde",40.6443329165,150.240,2.038,1.33615,1.67177,11.4422,0,1,0.059434,0.27805895
663,MOL000663,fyp_qjb_Molecule268.mol2,lignoceric acid,14.9035593021,368.720,10.017,1.23524,1.00992,,1,2,0.33352,0.17017478
69,MOL000069,fyp_bz_Molecule59.mol2,palmitic acid,19.2965647018,256.480,6.368,1.09151,0.99862,,1,2,0.098573,0
694,MOL000694,fyp_qnj_Molecule316.mol2,oplopanone,15.2370186808,238.410,2.466,0.70563,0.56171,,1,2,0.1043,0.26777077
