molecule_ID,MOL_ID,file_ID,molecule_name,ob,mw,alogp,caco2,bbb,halflife,hdon,hacc,dl,FASA,herb_cn,herb_pinyin
1521,MOL001521,hcx_szr_Molecule101.mol2,ceanothic acid,33.4118097633,486.760,5.359,-0.11231,-0.69111,13.449278,3,5,0.76601,0.30577552,酸枣仁,Suanzaoren
1522,MOL001522,hcx_szr_Molecule102.mol2,(S)-Coclaurine,42.3506421702,285.370,2.825,0.69560,0.06428,4.409726,3,4,0.23518,0.28834075,酸枣仁,Suanzaoren
1525,MOL001525,hcx_szr_Molecule104_qt.mol2,Daucosterol,36.9139058327,414.790,8.084,1.42309,1.14991,5.409395,1,1,0.75149,0.21033865,酸枣仁,Suanzaoren
1527,MOL001527,hcx_szr_Molecule107_qt.mol2,jujuboside A_qt,34.9623004,472.780,4.392,0.58873,0.10763,9.752623,2,4,0.61948,0.21222247,酸枣仁,Suanzaoren
1532,MOL001532,hcx_szr_Molecule113.mol2,phytosterol,36.9139058327,414.790,8.084,1.43351,1.16359,4.524111,1,1,0.75386,0.22566524,酸枣仁,Suanzaoren
1539,MOL001539,hcx_szr_Molecule121.mol2,sanjoinenine,67.2759749205,489.670,4.232,0.42968,-0.23951,4.875576,3,7,0.78898,0.38478121,酸枣仁,Suanzaoren
1542,MOL001542,hcx_szr_Molecule124.mol2,swertisin,31.8302463607,446.440,0.194,-1.14784,-1.93838,16.50758,6,10,0.74521,0.29346588,酸枣仁,Suanzaoren
1546,MOL001546,hcx_szr_Molecule130.mol2,zizyphusine,41.5269466565,342.450,3.122,0.99420,0.59517,1.01183,2,4,0.54717,0.17610657,酸枣仁,Suanzaoren
211,MOL000211,fyp_dfp_Molecule37.mol2,Mairin,55.3770733787,456.780,6.521,0.73231,0.21532,8.873708,2,3,0.7761,0.25708821,酸枣仁,Suanzaoren
1002,MOL001002,hc_my_Molecule142.mol2,ellagic acid,43.0645585827,302.200,1.483,-0.44261,-1.41189,-1.040645,4,8,0.43417,0.43301627,核桃仁,Hetaoren
9104,MOL009104,wjn_htr_Molecule20.mol2,glansreginin A,35.1552345643,593.640,0.220,-1.91629,-2.72091,1.879669,7,14,0.63927,0.35020196,核桃仁,Hetaoren
9105,MOL009105,wjn_htr_Molecule21.mol2,glansreginin B,41.3675690034,566.620,-2.178,-2.81747,-3.61949,1.400002,9,15,0.63178,0.30504829,核桃仁,Hetaoren
9126,MOL009126,wjn_htr_Molecule41.mol2,"methyl 3,4-dimethoxy-5-(2,3,4-trimethoxy-6-methoxycarbonylphenoxy)-2-(2,3,4-trimethoxy-6-methoxycarbonylphenyl)benzoate",32.6851136953,660.680,4.344,0.21625,-0.59306,4.385326,0,15,0.6509,0.10837607,核桃仁,Hetaoren
1792,MOL001792,lbh_blg_Molecule29.mol2,DFV,32.7627237546,256.270,2.565,0.50823,-0.28845,17.885678,2,4,0.18316,0.42163903,黄精,Huangjing
2714,MOL002714,lbh_hh_Molecule174.mol2,baicalein,33.51891869,270.250,2.334,0.63086,-0.05023,16.249167,3,5,0.20888,0.36044624,黄精,Huangjing
2959,MOL002959,lbh_jx_Molecule28.mol2,3'-Methoxydaidzein,48.5690937439,284.280,2.316,0.56493,-0.32231,17.039413,2,5,0.24261,0.34405011,黄精,Huangjing
358,MOL000358,fyp_hjs_Molecule461_qt.mol2,beta-sitosterol,36.9139058327,414.790,8.084,1.32463,0.98588,5.355491,1,1,0.75123,0.22550575,黄精,Huangjing
359,MOL000359,fyp_hjs_Molecule463.mol2,sitosterol,36.91390583,414.790,8.084,1.32059,0.87298,5.371091,1,1,0.7512,0.22479513,黄精,Huangjing
3889,MOL003889,lbh_td_Molecule15_qt.mol2,methylprotodioscin_qt,35.1164010273,446.740,4.276,0.20346,-0.44726,5.477112,2,4,0.8591,0.19034736,黄精,Huangjing
4941,MOL004941,lh_gc_Molecule269_qt.mol2,(2R)-7-hydroxy-2-(4-hydroxyphenyl)chroman-4-one,71.1229890138,256.270,2.565,0.41458,-0.24532,18.093254,2,4,0.18303,0,黄精,Huangjing
546,MOL000546,fyp_ltj_Molecule110.mol2,diosgenin,80.8779249091,414.690,4.634,0.81998,0.27383,4.137054,1,3,0.80979,0.19077273,黄精,Huangjing
6331,MOL006331,lp_djc_Molecule39.mol2,"4',5-Dihydroxyflavone",48.5512035242,254.250,2.602,0.75796,-0.02614,18.006086,2,4,0.1859,0,黄精,Huangjing
9760,MOL009760,wy_hj_Molecule908_qt.mol2,sibiricoside A_qt,35.2581888819,432.710,3.878,0.15842,-0.75239,5.4356,2,4,0.86193,0.21883368,黄精,Huangjing
9763,MOL009763,wy_hj_Molecule914.mol2,(+)-Syringaresinol-O-beta-D-glucoside,43.3530842761,580.640,0.196,-0.96761,-1.83304,3.20428,5,13,0.76682,0.19242804,黄精,Huangjing
9766,MOL009766,wy_hj_Molecule919.mol2,zhonghualiaoine 1,34.7192232154,458.750,3.571,0.30761,-0.38271,5.254505,2,4,0.77592,0.206333,黄精,Huangjing
1323,MOL001323,hc_tr_Molecule19.mol2,Sitosterol alpha1,43.281270422,426.800,8.153,1.41477,0.97257,5.640765,1,1,0.78354,0.23716514,枸杞子,Gouqizi
3578,MOL003578,lbh_scp_Molecule92.mol2,Cycloartenol,38.685659058,426.800,7.554,1.52617,1.33261,5.003719,1,1,0.78093,0,枸杞子,Gouqizi
1494,MOL001494,hcx_ndl_Molecule52.mol2,Mandenol,41.99620045,308.560,6.991,1.45585,1.13821,5.385969,0,2,0.19321,0.2476896,枸杞子,Gouqizi
1495,MOL001495,hcx_ndl_Molecule53.mol2,Ethyl linolenate,46.1009632724,306.540,6.546,1.53656,1.12378,6.200513,0,2,0.19716,0.24799952,枸杞子,Gouqizi
1979,MOL001979,lbh_btw_Molecule26.mol2,LAN,42.1191889704,426.800,8.120,1.51641,1.17987,5.835494,1,1,0.74787,0.23489921,枸杞子,Gouqizi
449,MOL000449,fyp_htp_Molecule484.mol2,Stigmasterol,43.8298515785,412.770,7.640,1.44458,1.00045,5.574595,1,1,0.75665,0.21679397,枸杞子,Gouqizi
358,MOL000358,fyp_hjs_Molecule461_qt.mol2,beta-sitosterol,36.9139058327,414.790,8.084,1.32463,0.98588,5.355491,1,1,0.75123,0.22550575,枸杞子,Gouqizi
5406,MOL005406,lh_sfs_Molecule1122.mol2,atropine,45.9705817808,289.410,1.721,0.42984,0.01478,2.747399,1,4,0.19328,0.28150576,枸杞子,Gouqizi
5438,MOL005438,lh_sy_Molecule3099.mol2,campesterol,37.5768178856,400.760,7.628,1.34459,0.94546,4.832037,1,1,0.71488,0.22386885,枸杞子,Gouqizi
6209,MOL006209,lmm_zs_Molecule029.mol2,cyanin,47.4209226916,411.660,7.077,1.78221,0.99102,2.723773,0,1,0.75918,0.27626067,枸杞子,Gouqizi
7449,MOL007449,lxx_sfj_Molecule148.mol2,24-methylidenelophenol,44.1926454523,412.770,7.751,1.40625,1.00160,5.103543,1,1,0.7533,0.24066044,枸杞子,Gouqizi
8173,MOL008173,twy_cs_Molecule29_qt.mol2,daucosterol_qt,36.9139058327,414.790,8.084,1.33489,0.85459,5.597671,1,1,0.75316,0.22539645,枸杞子,Gouqizi
8400,MOL008400,twy_dsh_Molecule47.mol2,glycitein,50.4789136567,284.280,2.316,0.56176,-0.28745,16.320275,2,5,0.23826,0.30143285,枸杞子,Gouqizi
10234,MOL010234,wy_sj_Molecule582.mol2,delta-Carotene,31.8009431171,536.960,12.185,2.32916,1.42231,2.616793,0,0,0.54639,0.35115972,枸杞子,Gouqizi
953,MOL000953,hc_jh_Molecule21.mol2,CLR,37.8738975447,386.730,7.376,1.43101,1.12678,4.518834,1,1,0.67677,0.19867201,枸杞子,Gouqizi
9604,MOL009604,wy_gqz_Molecule546.mol2,14b-pregnane,34.7792329915,288.570,6.535,1.79765,1.94933,4.570567,0,0,0.33723,0.19898032,枸杞子,Gouqizi
9612,MOL009612,wy_gqz_Molecule561.mol2,"(24R)-4alpha-Methyl-24-ethylcholesta-7,25-dien-3beta-ylacetate",46.3574992546,482.870,8.793,1.39199,0.99718,8.246643,0,2,0.8398,0.26376513,枸杞子,Gouqizi
9615,MOL009615,wy_gqz_Molecule564.mol2,"24-Methylenecycloartan-3beta,21-diol",37.3172816187,456.830,6.701,0.94675,0.29732,5.670619,2,2,0.79751,0.226999,枸杞子,Gouqizi
9617,MOL009617,wy_gqz_Molecule567.mol2,24-ethylcholest-22-enol,37.0945408649,414.790,7.890,1.33358,0.99239,5.320231,1,1,0.7511,0.21276975,枸杞子,Gouqizi
9618,MOL009618,wy_gqz_Molecule568.mol2,"24-ethylcholesta-5,22-dienol",43.8298515785,412.770,7.640,1.31182,0.83918,5.761295,1,1,0.75636,0.21982016,枸杞子,Gouqizi
9620,MOL009620,wy_gqz_Molecule570.mol2,24-methyl-31-norlanost-9(11)-enol,37.9996853037,428.820,8.153,1.32891,0.93218,5.487178,1,1,0.75092,0.23194796,枸杞子,Gouqizi
9621,MOL009621,wy_gqz_Molecule573.mol2,24-methylenelanost-8-enol,42.3681986806,440.830,8.426,1.44305,1.18394,5.427593,1,1,0.76769,0.24932098,枸杞子,Gouqizi
9622,MOL009622,wy_gqz_Molecule574.mol2,Fucosterol,43.77639556,412.770,7.834,1.33891,1.01263,5.435691,1,1,0.75668,0.23920399,枸杞子,Gouqizi
9631,MOL009631,wy_gqz_Molecule586.mol2,31-Norcyclolaudenol,38.6820961412,440.830,8.042,1.35248,0.93779,4.880158,1,1,0.81391,0.25353551,枸杞子,Gouqizi
9633,MOL009633,wy_gqz_Molecule588.mol2,31-norlanost-9(11)-enol,38.3539413677,414.790,7.902,1.33752,1.02901,5.371659,1,1,0.7249,0.22289726,枸杞子,Gouqizi
