molecule_ID,MOL_ID,file_ID,molecule_name,ob,mw,alogp,caco2,bbb,halflife,hdon,hacc,dl,FASA,herb_cn,herb_pinyin,SMILES,PubChem_CID,molecule_name_cn
1521.0,MOL001521,hcx_szr_Molecule101.mol2,ceanothic acid,33.4118097633,486.76,5.359,-0.11231,-0.69111,13.449278,3.0,5.0,0.76601,0.30577552,酸枣仁,Suanzaoren,CC(=C)C1CCC2(C1C3CCC4C(C3(CC2)C)(CCC5C4(C(C(C5(C)C)O)C(=O)O)C)C)C(=O)O,161352.0,鼠李酸
1522.0,MOL001522,hcx_szr_Molecule102.mol2,(S)-Coclaurine,42.3506421702,285.37,2.825,0.6956,0.06428,4.409726,3.0,4.0,0.23518,0.28834075,酸枣仁,Suanzaoren,COC1=C(C=C2C(NCCC2=C1)CC3=CC=C(C=C3)O)O,160487.0,(S)-乌药碱
1525.0,MOL001525,hcx_szr_Molecule104_qt.mol2,Daucosterol,36.9139058327,414.79,8.084,1.42309,1.14991,5.409395,1.0,1.0,0.75149,0.21033865,酸枣仁,Suanzaoren,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)OC5C(C(C(C(O5)CO)O)O)O)C)C)C(C)C,5742590.0,胡萝卜苷
1527.0,MOL001527,hcx_szr_Molecule107_qt.mol2,jujuboside A_qt,34.9623004,472.78,4.392,0.58873,0.10763,9.752623,2.0,4.0,0.61948,0.21222247,酸枣仁,Suanzaoren,CC1C(C(C(C(O1)OC2C(C(COC2OC3CCC4(C5CCC6C7C(CC(OC78CC6(C5(CCC4C3(C)C)C)CO8)C=C(C)C)(C)O)C)O)OC9C(C(C(C(O9)COC1C(C(C(C(O1)CO)O)O)O)O)O)OC1C(C(C(CO1)O)O)O)O)O)O,51346169.0,酸枣仁皂苷A(苷元)
1532.0,MOL001532,hcx_szr_Molecule113.mol2,phytosterol,36.9139058327,414.79,8.084,1.43351,1.16359,4.524111,1.0,1.0,0.75386,0.22566524,酸枣仁,Suanzaoren,,,植物甾醇
1539.0,MOL001539,hcx_szr_Molecule121.mol2,sanjoinenine,67.2759749205,489.67,4.232,0.42968,-0.23951,4.875576,3.0,7.0,0.78898,0.38478121,酸枣仁,Suanzaoren,CC(C)CC1C(=O)NC=CC2=CC=C(C=C2)OC(C(C(=O)N1)NC(=O)C=CC3=CC=CC=C3)C(C)C,177544249.0,酸枣仁碱E
1542.0,MOL001542,hcx_szr_Molecule124.mol2,swertisin,31.8302463607,446.44,0.194,-1.14784,-1.93838,16.50758,6.0,10.0,0.74521,0.29346588,酸枣仁,Suanzaoren,COC1=C(C(=C2C(=C1)OC(=CC2=O)C3=CC=C(C=C3)O)O)C4C(C(C(C(O4)CO)O)O)O,124034.0,当药黄素
1546.0,MOL001546,hcx_szr_Molecule130.mol2,zizyphusine,41.5269466565,342.45,3.122,0.9942,0.59517,1.01183,2.0,4.0,0.54717,0.17610657,酸枣仁,Suanzaoren,C[N+]1(CCC2=CC(=C(C3=C2C1CC4=C3C(=C(C=C4)OC)OC)O)O)C,102063083.0,枣属碱
211.0,MOL000211,fyp_dfp_Molecule37.mol2,Mairin,55.3770733787,456.78,6.521,0.73231,0.21532,8.873708,2.0,3.0,0.7761,0.25708821,酸枣仁,Suanzaoren,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)C(=O)O,64971.0,白桦脂酸
1002.0,MOL001002,hc_my_Molecule142.mol2,ellagic acid,43.0645585827,302.2,1.483,-0.44261,-1.41189,-1.040645,4.0,8.0,0.43417,0.43301627,核桃仁,Hetaoren,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,5281855.0,鞣花酸
9104.0,MOL009104,wjn_htr_Molecule20.mol2,glansreginin A,35.1552345643,593.64,0.22,-1.91629,-2.72091,1.879669,7.0,14.0,0.63927,0.35020196,核桃仁,Hetaoren,CC(CC=CC=C(C)C(=O)OCC1C(C(C(C(O1)OC2(CC(=O)NC3=CC=CC=C32)C(=O)O)O)O)O)C(CC(=O)O)O,16104376.0,
9105.0,MOL009105,wjn_htr_Molecule21.mol2,glansreginin B,41.3675690034,566.62,-2.178,-2.81747,-3.61949,1.400002,9.0,15.0,0.63178,0.30504829,核桃仁,Hetaoren,,,
9126.0,MOL009126,wjn_htr_Molecule41.mol2,"methyl 3,4-dimethoxy-5-(2,3,4-trimethoxy-6-methoxycarbonylphenoxy)-2-(2,3,4-trimethoxy-6-methoxycarbonylphenyl)benzoate",32.6851136953,660.68,4.344,0.21625,-0.59306,4.385326,0.0,15.0,0.6509,0.10837607,核桃仁,Hetaoren,,,
1792.0,MOL001792,lbh_blg_Molecule29.mol2,DFV,32.7627237546,256.27,2.565,0.50823,-0.28845,17.885678,2.0,4.0,0.18316,0.42163903,黄精,Huangjing,C1C(OC2=C(C1=O)C=CC(=C2)O)C3=CC=C(C=C3)O,114829.0,"7,4'-二羟基黄烷酮"
2714.0,MOL002714,lbh_hh_Molecule174.mol2,baicalein,33.51891869,270.25,2.334,0.63086,-0.05023,16.249167,3.0,5.0,0.20888,0.36044624,黄精,Huangjing,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O,5281605.0,黄芩素
2959.0,MOL002959,lbh_jx_Molecule28.mol2,3'-Methoxydaidzein,48.5690937439,284.28,2.316,0.56493,-0.32231,17.039413,2.0,5.0,0.24261,0.34405011,黄精,Huangjing,COC1=C(C=CC(=C1)C2=COC3=C(C2=O)C=CC(=C3)O)O,5319422.0,3'-甲氧基大豆苷元
