molecule_name,SMILES,PubChem_CID
ceanothic acid,CC(=C)C1CCC2(C1C3CCC4C(C3(CC2)C)(CCC5C4(C(C(C5(C)C)O)C(=O)O)C)C)C(=O)O,161352
(S)-Coclaurine,COC1=C(C=C2C(NCCC2=C1)CC3=CC=C(C=C3)O)O,160487
Daucosterol,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)OC5C(C(C(C(O5)CO)O)O)O)C)C)C(C)C,5742590
jujuboside A_qt,CC1C(C(C(C(O1)OC2C(C(COC2OC3CCC4(C5CCC6C7C(CC(OC78CC6(C5(CCC4C3(C)C)C)CO8)C=C(C)C)(C)O)C)O)OC9C(C(C(C(O9)COC1C(C(C(C(O1)CO)O)O)O)O)O)OC1C(C(C(CO1)O)O)O)O)O)O,51346169
phytosterol,,
sanjoinenine,CC(C)CC1C(=O)NC=CC2=CC=C(C=C2)OC(C(C(=O)N1)NC(=O)C=CC3=CC=CC=C3)C(C)C,177544249
swertisin,COC1=C(C(=C2C(=C1)OC(=CC2=O)C3=CC=C(C=C3)O)O)C4C(C(C(C(O4)CO)O)O)O,124034
zizyphusine,C[N+]1(CCC2=CC(=C(C3=C2C1CC4=C3C(=C(C=C4)OC)OC)O)O)C,102063083
Mairin,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)C(=O)O,64971
ellagic acid,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,5281855
glansreginin A,CC(CC=CC=C(C)C(=O)OCC1C(C(C(C(O1)OC2(CC(=O)NC3=CC=CC=C32)C(=O)O)O)O)O)C(CC(=O)O)O,16104376
glansreginin B,,
"methyl 3,4-dimethoxy-5-(2,3,4-trimethoxy-6-methoxycarbonylphenoxy)-2-(2,3,4-trimethoxy-6-methoxycarbonylphenyl)benzoate",,
DFV,C1C(OC2=C(C1=O)C=CC(=C2)O)C3=CC=C(C=C3)O,114829
baicalein,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O,5281605
3'-Methoxydaidzein,COC1=C(C=CC(=C1)C2=COC3=C(C2=O)C=CC(=C3)O)O,5319422
beta-sitosterol,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,222284
sitosterol,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,222284
methylprotodioscin_qt,CC1C2C(CC3C2(CCC4C3CC=C5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)C)O)O)O)O)OC8C(C(C(C(O8)C)O)O)O)C)C)OC1(CCC(C)COC9C(C(C(C(O9)CO)O)O)O)OC,11263254
(2R)-7-hydroxy-2-(4-hydroxyphenyl)chroman-4-one,C1C(OC2=C(C1=O)C=CC(=C2)O)C3=CC=C(C=C3)O,928837
diosgenin,CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CC=C6C5(CCC(C6)O)C)C)C)OC1,99474
"4',5-Dihydroxyflavone",C1=CC(=C2C(=C1)OC(=CC2=O)C3=CC=C(C=C3)O)O,165521
sibiricoside A_qt,CC1C2C(CC3C2(CCC4C3CC=C5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)CO)O)OC8C(C(C(CO8)O)O)O)OC9C(C(C(C(O9)CO)O)O)O)O)O)C)C)OC1(CCC(C)COC1C(C(C(C(O1)CO)O)O)O)OC,46173928
(+)-Syringaresinol-O-beta-D-glucoside,,
zhonghualiaoine 1,,
Sitosterol alpha1,CC=C(CCC(C)C1CCC2C1(CCC3C2=CCC4C3(CCC(C4C)O)C)C)C(C)C,9548595
Cycloartenol,CC(CCC=C(C)C)C1CCC2(C1(CCC34C2CCC5C3(C4)CCC(C5(C)C)O)C)C,92110
Mandenol,CCCCCC=CCC=CCCCCCCCC(=O)OCC,5282184
