Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Adenylate Cyclase-Activating Adrenergic Receptor Signaling Pathway (GO:0071880),10/15,3.083871750481658e-23,3.999781660374711e-20,0,0,886.2222222222222,45935.79684948015,ADRA1D;ADRB1;ADRB2;DRD1;ADRA1B;ADRA2C;DRD2;ADRA2B;DRD3;ADRA2A
GO_Biological_Process_2023,Adrenergic Receptor Signaling Pathway (GO:0071875),10/18,4.466679088279497e-22,2.896641388749254e-19,0,0,553.8055555555555,27225.206740032856,ADRA1D;ADRB1;ADRB2;DRD1;ADRA1B;ADRA2C;DRD2;ADRA2B;DRD3;ADRA2A
GO_Biological_Process_2023,Adenylate Cyclase-Activating G Protein-Coupled Receptor Signaling Pathway (GO:0007189),11/110,8.1565536110849e-15,3.526350011192372e-12,0,0,50.11616161616162,1625.7660108989448,ADRA1D;ADCY2;ADRB1;ADRB2;DRD1;ADRA1B;ADRA2C;DRD2;ADRA2B;DRD3;ADRA2A
GO_Biological_Process_2023,Phospholipase C-activating G Protein-Coupled Receptor Signaling Pathway (GO:0007200),9/83,1.272255319038236e-12,4.12528787198148e-10,0,0,52.537896592244415,1439.0250686793577,OPRD1;ADRA1D;OPRM1;DRD1;ADRA1B;DRD2;DRD3;ESR1;ADRA2A
GO_Biological_Process_2023,Dopamine Metabolic Process (GO:0042417),6/19,8.613832299322964e-12,2.2344280984443768e-09,0,0,187.7425431711146,4783.2391425606365,MAOB;MAOA;DRD1;DRD2;DRD3;DRD4
GO_Biological_Process_2023,Positive Regulation Of MAPK Cascade (GO:0043410),12/310,3.760858437995876e-11,8.129722323467752e-09,0,0,18.398938660839708,441.6442374574546,IL6;ADRA1D;PRKCA;OPRM1;ADRB2;ADRA1B;ADRA2C;ADRA2B;ADRA2A;EGFR;DRD4;VEGFA
GO_Biological_Process_2023,Positive Regulation Of Multicellular Organismal Process (GO:0051240),12/387,4.820367006726093e-10,8.203537996723149e-08,0,0,14.563720930232558,312.4355176746098,IL10;ACHE;IL6;CAV1;ADRA1D;PRKCA;ADRB1;ADRB2;ADRA2A;IL2;MTOR;VEGFA
GO_Biological_Process_2023,Positive Regulation Of Cellular Process (GO:0048522),14/594,5.060008016483053e-10,8.203537996723149e-08,0,0,11.40075693860387,244.0273065102459,GSK3B;CAV1;ADRA1D;PRKCA;ADRA2A;EGFR;IL2;MTOR;CDC25B;VEGFA;FOSL1;IL6;CDK4;CDK2
GO_Biological_Process_2023,Regulation Of MAPK Cascade (GO:0043408),9/204,4.243776949298678e-09,6.11575411471154e-07,0,0,19.81605351170569,382.01015763437175,IL6;CAV1;ADRA1D;ADRB2;ADRA1B;ADRA2C;ADRA2B;ADRA2A;EGFR
GO_Biological_Process_2023,Cellular Response To Oxygen-Containing Compound (GO:1901701),11/406,1.1311182248359273e-08,1.421597095760425e-06,0,0,12.373417721518988,226.40228931094867,IL10;GSK3B;IL6;MMP3;CDK2;SCN5A;DRD1;MAPK14;ESR1;EGFR;MTOR
