Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Molecular_Function_2023,Estrogen Response Element Binding (GO:0034056),4/10,1.0613865912586916e-08,1.7725156074020151e-06,0,0,260.640522875817,4785.647899792134,PGR;NR3C1;ESR1;ESR2
GO_Molecular_Function_2023,Epinephrine Binding (GO:0051379),3/5,1.9600286618898578e-07,1.636623932678031e-05,0,0,575.2788461538462,8885.26033570936,ADRA2C;ADRA2B;DRD4
GO_Molecular_Function_2023,Protein Heterodimerization Activity (GO:0046982),6/190,1.3373563765250314e-05,0.0007444617162656008,0,0,13.150621118012422,147.57930341635648,ADRA1D;ADRB1;ADRA1B;ADRA2C;TP53;ADRA2A
GO_Molecular_Function_2023,Postsynaptic Neurotransmitter Receptor Activity (GO:0098960),3/19,1.848205796311634e-05,0.0007716259199601072,0,0,71.859375,783.1744987014366,CHRNA2;DRD1;DRD4
GO_Molecular_Function_2023,Kinase Binding (GO:0019900),8/460,3.476134758996599e-05,0.0011221545182328,0,0,7.340613820372811,75.3661150524452,GSK3B;CAV1;SCN5A;NR3C1;ESR1;ADRA2A;EGFR;CDC25B
GO_Molecular_Function_2023,Protein Serine/Threonine Kinase Activity (GO:0004674),7/342,4.031692879878583e-05,0.0011221545182328,0,0,8.536691542288557,86.3805545599018,GSK3B;CDK4;CDK2;PRKCA;MAPK14;EGFR;MTOR
GO_Molecular_Function_2023,ATPase Binding (GO:0051117),4/73,4.838518904199704e-05,0.0011543323671447,0,0,22.59278204035237,224.48903980507248,CAV1;PGR;ESR1;EGFR
GO_Molecular_Function_2023,G Protein-Coupled Receptor Activity (GO:0004930),6/250,6.237065208681823e-05,0.0013019873623123,0,0,9.886751421880229,95.7276373112636,OPRD1;PGR;OPRM1;DRD1;DRD2;DRD3
GO_Molecular_Function_2023,G Protein-Coupled Opioid Receptor Activity (GO:0004985),2/5,7.385769263711544e-05,0.0013704705189331,0,0,250.8427672955975,2386.360154611872,OPRD1;OPRM1
GO_Molecular_Function_2023,Growth Factor Activity (GO:0008083),4/85,8.783847000236864e-05,0.0014669024490395,0,0,19.23408375695957,179.64655383339084,IL10;IL6;IL2;VEGFA
