Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Neuroactive ligand-receptor interaction,17/341,2.2147327903143548e-17,4.584496875950715e-15,0,0,27.092024041585447,1038.9470130997056,OPRD1;CHRNA2;GABRA6;ADRA1D;ADRB1;OPRM1;ADRB2;ADRA1B;NR3C1;ADRA2C;ADRA1A;ADRA2B;ADRA2A;DRD1;DRD2;DRD3;DRD4
KEGG_2021_Human,Pathways in cancer,15/531,8.448141583294568e-12,8.743826538709878e-10,0,0,14.119912790697674,360.0164701895408,GSK3B;PRKCA;ADCY2;PTGS2;ESR1;EGFR;ESR2;IL2;MTOR;VEGFA;IL6;CDK4;CDK2;TP53;RUNX1T1
KEGG_2021_Human,Human cytomegalovirus infection,11/225,2.2154578536431282e-11,1.375412413126737e-09,0,0,23.05023364485981,565.490850352582,GSK3B;IL6;CDK4;PRKCA;ADCY2;PTGS2;MAPK14;TP53;EGFR;MTOR;VEGFA
KEGG_2021_Human,cGMP-PKG signaling pathway,10/167,2.6578017644961098e-11,1.375412413126737e-09,0,0,28.00849256900212,682.0330281012606,OPRD1;ADRA1D;ADCY2;ADRB1;ADRB2;ADRA1B;ADRA2C;ADRA1A;ADRA2B;ADRA2A
KEGG_2021_Human,Chemical carcinogenesis,11/239,4.245077726691783e-11,1.5317835776472151e-09,0,0,21.61951754385965,516.3319304665747,PRKCA;PGR;ADCY2;ADRB1;ADRB2;PTGS2;ESR1;EGFR;ESR2;MTOR;VEGFA
KEGG_2021_Human,Calcium signaling pathway,11/240,4.439952398977435e-11,1.5317835776472151e-09,0,0,21.524017467248907,513.0850592986983,ADRA1D;PRKCA;ADCY2;ADRB1;NOS1;ADRB2;DRD1;ADRA1B;ADRA1A;EGFR;VEGFA
KEGG_2021_Human,Dopaminergic synapse,9/132,8.870293345403424e-11,2.6230724607121553e-09,0,0,31.53022269353128,729.7899631476326,GSK3B;MAOB;MAOA;PRKCA;DRD1;DRD2;MAPK14;DRD3;DRD4
KEGG_2021_Human,Salivary secretion,8/93,1.6365017663417603e-10,4.234448320409305e-09,0,0,39.769712140175216,896.1424582885136,ADRA1D;PRKCA;ADCY2;ADRB1;NOS1;ADRB2;ADRA1B;ADRA1A
KEGG_2021_Human,Adrenergic signaling in cardiomyocytes,9/150,2.7935833657526837e-10,6.425241741231172e-09,0,0,27.480111008325625,604.5219309405237,ADRA1D;PRKCA;ADCY2;ADRB1;SCN5A;ADRB2;ADRA1B;MAPK14;ADRA1A
KEGG_2021_Human,Breast cancer,8/147,6.3931644652162074e-09,1.323385044299755e-07,0,0,24.25348232052656,457.615588940072,GSK3B;CDK4;PGR;TP53;ESR1;EGFR;ESR2;MTOR
KEGG_2021_Human,Serotonergic synapse,7/113,2.4711902918583993e-08,4.650330821951714e-07,0,0,27.29422169811321,478.0850634839686,MAOB;MAOA;HTR3A;PRKCA;PTGS2;SLC6A4;PTGS1
KEGG_2021_Human,PI3K-Akt signaling pathway,10/354,3.8327924659933983e-08,6.611567003838612e-07,0,0,12.662144702842378,216.23254800166023,GSK3B;IL6;CDK4;CDK2;PRKCA;TP53;EGFR;IL2;MTOR;VEGFA
KEGG_2021_Human,Kaposi sarcoma-associated herpesvirus infection,8/193,5.371142826816977e-08,8.552512039623956e-07,0,0,18.18056354226567,304.33608944300016,GSK3B;IL6;CDK4;PTGS2;MAPK14;TP53;MTOR;VEGFA
KEGG_2021_Human,Proteoglycans in cancer,8/205,8.560260164373147e-08,1.2656956100180297e-06,0,0,17.062749756993195,277.6715140588811,CAV1;PRKCA;MAPK14;TP53;ESR1;EGFR;MTOR;VEGFA
KEGG_2021_Human,Gap junction,6/88,1.48843297021384e-07,2.0540374988950995e-06,0,0,29.661025385764063,466.28234650744815,PRKCA;ADCY2;ADRB1;DRD1;DRD2;EGFR
KEGG_2021_Human,IL-17 signaling pathway,6/94,2.208252068472906e-07,2.856926113586822e-06,0,0,27.630333951762523,423.4595794865926,FOSL1;GSK3B;IL6;MMP3;PTGS2;MAPK14
KEGG_2021_Human,Prostate cancer,6/97,2.6631952327966665e-07,3.242831842287705e-06,0,0,26.715407041937656,404.4330337680229,GSK3B;MMP3;CDK2;TP53;EGFR;MTOR
KEGG_2021_Human,Regulation of lipolysis in adipocytes,5/55,4.090476226816096e-07,4.704047660838511e-06,0,0,39.79,585.2883888396306,ADCY2;ADRB1;ADRB2;PTGS2;PTGS1
KEGG_2021_Human,Relaxin signaling pathway,6/129,1.433288216321403e-06,1.5615297935712128e-05,0,0,19.73320059731209,265.52085617980623,PRKCA;ADCY2;NOS1;MAPK14;EGFR;VEGFA
KEGG_2021_Human,Glioma,5/75,1.94663194145204e-06,1.921034550572813e-05,0,0,28.392857142857142,373.34931646985706,CDK4;PRKCA;TP53;EGFR;MTOR
KEGG_2021_Human,Estrogen signaling pathway,6/137,2.036333418396091e-06,1.921034550572813e-05,0,0,18.520641844524068,242.7011528128024,PGR;ADCY2;OPRM1;ESR1;EGFR;ESR2
KEGG_2021_Human,Pancreatic cancer,5/76,2.0793836999002527e-06,1.921034550572813e-05,0,0,27.991549295774647,366.2257279025724,CDK4;TP53;EGFR;MTOR;VEGFA
KEGG_2021_Human,Measles,6/139,2.215601004702412e-06,1.921034550572813e-05,0,0,18.240294614086235,237.48839614905023,GSK3B;IL6;CDK4;CDK2;TP53;IL2
KEGG_2021_Human,Human T-cell leukemia virus 1 infection,7/219,2.22728643544674e-06,1.921034550572813e-05,0,0,13.574194182389936,176.6644255363367,FOSL1;IL6;CDK4;CDK2;ADCY2;TP53;IL2
KEGG_2021_Human,Human papillomavirus infection,8/331,3.2000199650886714e-06,2.64961653109342e-05,0,0,10.340293788287992,130.82905239724485,GSK3B;CDK4;CDK2;PTGS2;TP53;EGFR;MTOR;VEGFA
KEGG_2021_Human,Cellular senescence,6/156,4.323851152088574e-06,3.442450724932057e-05,0,0,16.15918367346939,199.58796082605863,IL6;CDK4;CDK2;MAPK14;TP53;MTOR
KEGG_2021_Human,Bladder cancer,4/41,4.805080734465216e-06,3.683895229756665e-05,0,0,42.20031796502385,516.7782030576816,CDK4;TP53;EGFR;VEGFA
