gene_symbol,ensembl_id,score,source,gene_id,disease,disease_key
PRNP,ENSG00000171867,0.7196974280579174,OpenTargets,,Insomnia,insomnia
GABRB2,ENSG00000145864,0.7002789195683313,OpenTargets,,Insomnia,insomnia
GABRB3,ENSG00000166206,0.6334863123606086,OpenTargets,,Insomnia,insomnia
GABRA6,ENSG00000145863,0.6181085625212828,OpenTargets,,Insomnia,insomnia
GABRA1,ENSG00000022355,0.6103559882535325,OpenTargets,,Insomnia,insomnia
GABRG2,ENSG00000113327,0.6097286055513259,OpenTargets,,Insomnia,insomnia
GABRB1,ENSG00000163288,0.6066021861647631,OpenTargets,,Insomnia,insomnia
GABRP,ENSG00000094755,0.605992296655394,OpenTargets,,Insomnia,insomnia
GABRE,ENSG00000102287,0.605992296655394,OpenTargets,,Insomnia,insomnia
GABRA2,ENSG00000151834,0.605638795283961,OpenTargets,,Insomnia,insomnia
GABRA4,ENSG00000109158,0.6053161145479746,OpenTargets,,Insomnia,insomnia
GABRD,ENSG00000187730,0.6052582955898933,OpenTargets,,Insomnia,insomnia
GABRA5,ENSG00000186297,0.6051357560373068,OpenTargets,,Insomnia,insomnia
GABRA3,ENSG00000011677,0.6051357560373068,OpenTargets,,Insomnia,insomnia
GABRG1,ENSG00000163285,0.6050683470186822,OpenTargets,,Insomnia,insomnia
GABRQ,ENSG00000268089,0.6050683470186822,OpenTargets,,Insomnia,insomnia
GABRG3,ENSG00000182256,0.6050683470186822,OpenTargets,,Insomnia,insomnia
MTNR1B,ENSG00000134640,0.6020563367286729,OpenTargets,,Insomnia,insomnia
MTNR1A,ENSG00000168412,0.6005870646548009,OpenTargets,,Insomnia,insomnia
HCRTR2,ENSG00000137252,0.5988748728311054,OpenTargets,,Insomnia,insomnia
HCRTR1,ENSG00000121764,0.5956659546129768,OpenTargets,,Insomnia,insomnia
HTR2A,ENSG00000102468,0.5650645632232414,OpenTargets,,Insomnia,insomnia
HRH1,ENSG00000196639,0.5638649140069747,OpenTargets,,Insomnia,insomnia
HTR2C,ENSG00000147246,0.5469168961437538,OpenTargets,,Insomnia,insomnia
CRY1,ENSG00000008405,0.5365338200880215,OpenTargets,,Insomnia,insomnia
ADRA2A,ENSG00000150594,0.528610409316237,OpenTargets,,Insomnia,insomnia
ADRA2B,ENSG00000274286,0.5284870845623179,OpenTargets,,Insomnia,insomnia
ADRA2C,ENSG00000184160,0.5273220128783778,OpenTargets,,Insomnia,insomnia
MEIS1,ENSG00000143995,0.49889793428542034,OpenTargets,,Insomnia,insomnia
FOXP2,ENSG00000128573,0.4737212853409685,OpenTargets,,Insomnia,insomnia
DRD2,ENSG00000149295,0.46668046962269677,OpenTargets,,Insomnia,insomnia
APOE,ENSG00000130203,0.46367081836409707,OpenTargets,,Insomnia,insomnia
NPAS3,ENSG00000151322,0.463092441394712,OpenTargets,,Insomnia,insomnia
SLC39A8,ENSG00000138821,0.4624870785859993,OpenTargets,,Insomnia,insomnia
SALL1,ENSG00000103449,0.4624375056060898,OpenTargets,,Insomnia,insomnia
SDK1,ENSG00000146555,0.46038207935323666,OpenTargets,,Insomnia,insomnia
CACNA1C,ENSG00000151067,0.4601511370109513,OpenTargets,,Insomnia,insomnia
ELAVL2,ENSG00000107105,0.45266770704840303,OpenTargets,,Insomnia,insomnia
TET2,ENSG00000168769,0.4507550556323974,OpenTargets,,Insomnia,insomnia
CNR1,ENSG00000118432,0.4497293031762533,OpenTargets,,Insomnia,insomnia
PCDH9,ENSG00000184226,0.4437606998446177,OpenTargets,,Insomnia,insomnia
SLC6A2,ENSG00000103546,0.44283879476886934,OpenTargets,,Insomnia,insomnia
MDGA1,ENSG00000112139,0.43780733608993505,OpenTargets,,Insomnia,insomnia
CA10,ENSG00000154975,0.43542289890989677,OpenTargets,,Insomnia,insomnia
PTPRD,ENSG00000153707,0.43370744037840914,OpenTargets,,Insomnia,insomnia
TEX29,ENSG00000153495,0.4331141908693646,OpenTargets,,Insomnia,insomnia
SLC6A4,ENSG00000108576,0.43286717363633614,OpenTargets,,Insomnia,insomnia
ASPSCR1,ENSG00000169696,0.432615395559724,OpenTargets,,Insomnia,insomnia
PAX8,ENSG00000125618,0.43132647183855516,OpenTargets,,Insomnia,insomnia
NEGR1,ENSG00000172260,0.4302556226006984,OpenTargets,,Insomnia,insomnia
TCF4,ENSG00000196628,0.4263311320125394,OpenTargets,,Insomnia,insomnia
ATP2B2,ENSG00000157087,0.42618800739272444,OpenTargets,,Insomnia,insomnia
LINC03051,ENSG00000239268,0.42433374191149803,OpenTargets,,Insomnia,insomnia
NLGN1,ENSG00000169760,0.42398225281689683,OpenTargets,,Insomnia,insomnia
MON1B,ENSG00000103111,0.42088289765807807,OpenTargets,,Insomnia,insomnia
UGT1A1,ENSG00000241635,0.4203404280507268,OpenTargets,,Insomnia,insomnia
SLCO3A1,ENSG00000176463,0.4201399726067087,OpenTargets,,Insomnia,insomnia
CACNA2D1,ENSG00000153956,0.41843087884751773,OpenTargets,,Insomnia,insomnia
VEGFA,ENSG00000112715,0.41742404538495037,OpenTargets,,Insomnia,insomnia
BTBD9,ENSG00000183826,0.41671013853708205,OpenTargets,,Insomnia,insomnia
TMEM161B,ENSG00000164180,0.4158351195730414,OpenTargets,,Insomnia,insomnia
RASGRP1,ENSG00000172575,0.4142772442666386,OpenTargets,,Insomnia,insomnia
PAX5,ENSG00000196092,0.4112441709461366,OpenTargets,,Insomnia,insomnia
SORCS3,ENSG00000156395,0.40999387286347316,OpenTargets,,Insomnia,insomnia
SPRY4,ENSG00000187678,0.40866779062835673,OpenTargets,,Insomnia,insomnia
LRRTM4,ENSG00000176204,0.40789836202027574,OpenTargets,,Insomnia,insomnia
IGSF9B,ENSG00000080854,0.40757031648512854,OpenTargets,,Insomnia,insomnia
SNCA,ENSG00000145335,0.40752390738604116,OpenTargets,,Insomnia,insomnia
EFNA5,ENSG00000184349,0.40743779184820395,OpenTargets,,Insomnia,insomnia
PDE2A,ENSG00000186642,0.4058675689794024,OpenTargets,,Insomnia,insomnia
INSYN1,ENSG00000205363,0.40555989140280585,OpenTargets,,Insomnia,insomnia
PLCH1,ENSG00000114805,0.403827238745656,OpenTargets,,Insomnia,insomnia
TERF1,ENSG00000147601,0.4027780771602423,OpenTargets,,Insomnia,insomnia
HAPSTR1,ENSG00000182831,0.40144142666783666,OpenTargets,,Insomnia,insomnia
SHROOM4,ENSG00000158352,0.40000848332566447,OpenTargets,,Insomnia,insomnia
FES,ENSG00000182511,0.39955483395167,OpenTargets,,Insomnia,insomnia
RASGEF1A,ENSG00000198915,0.39946026668151974,OpenTargets,,Insomnia,insomnia
CSMD1,ENSG00000183117,0.3990806354944558,OpenTargets,,Insomnia,insomnia
CACNA1B,ENSG00000148408,0.39883381714061766,OpenTargets,,Insomnia,insomnia
CACNA1A,ENSG00000141837,0.39827944735859055,OpenTargets,,Insomnia,insomnia
CACNG4,ENSG00000075461,0.3979098675039059,OpenTargets,,Insomnia,insomnia
CACNA1D,ENSG00000157388,0.3979098675039059,OpenTargets,,Insomnia,insomnia
CACNA1F,ENSG00000102001,0.3979098675039059,OpenTargets,,Insomnia,insomnia
CACNA2D2,ENSG00000007402,0.3979098675039059,OpenTargets,,Insomnia,insomnia
CACNA1S,ENSG00000081248,0.3979098675039059,OpenTargets,,Insomnia,insomnia
CACNB4,ENSG00000182389,0.3979098675039059,OpenTargets,,Insomnia,insomnia
CACNG2,ENSG00000166862,0.3979098675039059,OpenTargets,,Insomnia,insomnia
CACNG3,ENSG00000006116,0.3979098675039059,OpenTargets,,Insomnia,insomnia
CACNA1H,ENSG00000196557,0.3979098675039059,OpenTargets,,Insomnia,insomnia
CACNG5,ENSG00000075429,0.3979098675039059,OpenTargets,,Insomnia,insomnia
CACNA2D3,ENSG00000157445,0.3979098675039059,OpenTargets,,Insomnia,insomnia
CACNG7,ENSG00000105605,0.3979098675039059,OpenTargets,,Insomnia,insomnia
CACNA1G,ENSG00000006283,0.3979098675039059,OpenTargets,,Insomnia,insomnia
CACNG1,ENSG00000108878,0.3979098675039059,OpenTargets,,Insomnia,insomnia
CACNG6,ENSG00000130433,0.3979098675039059,OpenTargets,,Insomnia,insomnia
CACNB3,ENSG00000167535,0.3979098675039059,OpenTargets,,Insomnia,insomnia
CACNA1I,ENSG00000100346,0.3979098675039059,OpenTargets,,Insomnia,insomnia
CACNA2D4,ENSG00000151062,0.3979098675039059,OpenTargets,,Insomnia,insomnia
CACNA1E,ENSG00000198216,0.3979098675039059,OpenTargets,,Insomnia,insomnia
CACNG8,ENSG00000142408,0.3979098675039059,OpenTargets,,Insomnia,insomnia
CACNB2,ENSG00000165995,0.3979098675039059,OpenTargets,,Insomnia,insomnia
CACNB1,ENSG00000067191,0.3979098675039059,OpenTargets,,Insomnia,insomnia
GPC6,ENSG00000183098,0.3963449327778342,OpenTargets,,Insomnia,insomnia
ZFHX4,ENSG00000091656,0.39565833749851154,OpenTargets,,Insomnia,insomnia
CCDC148,ENSG00000153237,0.3955077225457484,OpenTargets,,Insomnia,insomnia
TRPC7,ENSG00000069018,0.3955008997752792,OpenTargets,,Insomnia,insomnia
MLLT10,ENSG00000078403,0.3933820703547685,OpenTargets,,Insomnia,insomnia
GRIA1,ENSG00000155511,0.39081247782102535,OpenTargets,,Insomnia,insomnia
CHCHD3,ENSG00000106554,0.3903473473312006,OpenTargets,,Insomnia,insomnia
IMMP2L,ENSG00000184903,0.38950549700328807,OpenTargets,,Insomnia,insomnia
KLF7,ENSG00000118263,0.38908114760403617,OpenTargets,,Insomnia,insomnia
ADCY2,ENSG00000078295,0.38883959215785574,OpenTargets,,Insomnia,insomnia
PAM,ENSG00000145730,0.38788224792954384,OpenTargets,,Insomnia,insomnia
GALNT2,ENSG00000143641,0.3872555265914659,OpenTargets,,Insomnia,insomnia
FOXP1,ENSG00000114861,0.38711177892545473,OpenTargets,,Insomnia,insomnia
