molecule_ID,MOL_ID,molecule_name,target_name,target_ID,drugbank_ID,validated,SVM_score,RF_score,herb_cn,herb_pinyin,gene_symbol,uniprot_id
1522,MOL001522,(S)-Coclaurine,Prostaglandin G/H synthase 1,6,20,,0.877146,0.742,酸枣仁,Suanzaoren,PTGS1,A0A087X296
1522,MOL001522,(S)-Coclaurine,Muscarinic acetylcholine receptor M1,38,103,,0.921871,0.716,酸枣仁,Suanzaoren,CHRM1,P11229
1522,MOL001522,(S)-Coclaurine,Sodium channel protein type 5 subunit alpha,70,220,,0.850357,0.748,酸枣仁,Suanzaoren,SCN5A,Q14524
1522,MOL001522,(S)-Coclaurine,Prostaglandin G/H synthase 2,94,290,,0.913244,0.812,酸枣仁,Suanzaoren,PTGS2,A0A7P0T828
1522,MOL001522,(S)-Coclaurine,Retinoic acid receptor RXR-alpha,158,459,,0.931726,0.742,酸枣仁,Suanzaoren,RXRA,P19793
1522,MOL001522,(S)-Coclaurine,Alpha-1A adrenergic receptor,191,556,,0.892882,0.708,酸枣仁,Suanzaoren,ADRA1A,B0ZBD3
1522,MOL001522,(S)-Coclaurine,Alpha-1B adrenergic receptor,216,632,,0.848494,0.744,酸枣仁,Suanzaoren,ADRA1B,P35368
1522,MOL001522,(S)-Coclaurine,Sodium-dependent dopamine transporter,239,713,,0.8619,0.712,酸枣仁,Suanzaoren,DAT1,Q6LC27
1522,MOL001522,(S)-Coclaurine,Beta-2 adrenergic receptor,261,766,,0.923393,0.732,酸枣仁,Suanzaoren,ADRB2,Q9BYZ0
1522,MOL001522,(S)-Coclaurine,Sodium-dependent serotonin transporter,290,824,,0.901114,0.714,酸枣仁,Suanzaoren,SLC6A4,P31645
1522,MOL001522,(S)-Coclaurine,Heat shock protein HSP 90,444,1939,,0.946405,0.704,酸枣仁,Suanzaoren,HSP90AB4P,Q58FF6
1522,MOL001522,(S)-Coclaurine,Amine oxidase [flavin-containing] B,565,3939,,0.836801,0.704,酸枣仁,Suanzaoren,MAOB,P27338
1522,MOL001522,(S)-Coclaurine,Dopamine D1 receptor,7,23,,0.876622,0.704,酸枣仁,Suanzaoren,DRD1,P21728
